#wls	flux	fluxerr
1.600000E+03	5.840552E-18	2.160900E-19
1.640000E+03	5.866789E-18	2.168903E-19
1.680000E+03	5.895556E-18	2.177770E-19
1.720000E+03	5.928645E-18	2.188157E-19
1.760000E+03	5.964230E-18	2.199386E-19
1.800000E+03	6.004990E-18	2.212437E-19
1.840000E+03	6.050002E-18	2.226962E-19
1.880000E+03	6.101022E-18	2.243602E-19
1.920000E+03	6.158906E-18	2.262658E-19
1.960000E+03	6.224496E-18	2.284431E-19
2.000000E+03	6.298631E-18	2.309213E-19
2.040000E+03	6.383020E-18	2.337619E-19
2.080000E+03	6.479361E-18	2.370249E-19
2.120000E+03	6.588455E-18	2.407378E-19
2.160000E+03	6.711973E-18	2.449593E-19
2.200000E+03	6.851575E-18	2.497473E-19
2.240000E+03	7.008030E-18	2.551268E-19
2.280000E+03	7.182107E-18	2.611227E-19
2.320000E+03	7.374571E-18	2.677591E-19
2.360000E+03	7.586182E-18	2.750598E-19
2.400000E+03	7.817699E-18	2.830484E-19
2.440000E+03	8.069880E-18	2.917476E-19
2.480000E+03	8.341762E-18	3.011181E-19
2.520000E+03	8.634112E-18	3.111825E-19
2.560000E+03	8.947698E-18	3.219634E-19
2.600000E+03	9.283288E-18	3.334828E-19
2.640000E+03	9.639951E-18	3.457013E-19
2.680000E+03	1.001932E-17	3.586712E-19
2.720000E+03	1.042133E-17	3.723836E-19
2.760000E+03	1.084763E-17	3.868902E-19
2.800000E+03	1.129732E-17	4.021513E-19
2.840000E+03	1.177206E-17	4.182183E-19
2.880000E+03	1.227015E-17	4.350224E-19
2.920000E+03	1.279160E-17	4.525557E-19
2.960000E+03	1.333982E-17	4.709291E-19
3.000000E+03	1.391569E-17	4.901644E-19
3.010000E+03	1.406518E-17	4.951489E-19
3.020000E+03	1.421630E-17	5.001832E-19
3.030000E+03	1.436991E-17	5.052967E-19
3.040000E+03	1.452597E-17	5.104884E-19
3.050000E+03	1.468451E-17	5.157587E-19
3.060000E+03	1.484467E-17	5.210777E-19
3.070000E+03	1.500817E-17	5.265048E-19
3.080000E+03	1.517496E-17	5.320389E-19
3.090000E+03	1.534340E-17	5.376216E-19
3.100000E+03	1.551515E-17	5.433109E-19
3.110000E+03	1.569023E-17	5.491074E-19
3.120000E+03	1.586863E-17	5.550105E-19
3.130000E+03	1.605035E-17	5.610199E-19
3.140000E+03	1.623541E-17	5.671355E-19
3.150000E+03	1.642379E-17	5.733570E-19
3.160000E+03	1.661634E-17	5.797135E-19
3.170000E+03	1.681308E-17	5.862050E-19
3.180000E+03	1.701315E-17	5.928018E-19
3.190000E+03	1.721824E-17	5.995619E-19
3.200000E+03	1.742753E-17	6.064563E-19
3.210000E+03	1.764101E-17	6.134850E-19
3.220000E+03	1.785952E-17	6.206760E-19
3.230000E+03	1.808391E-17	6.280587E-19
3.240000E+03	1.831253E-17	6.355750E-19
3.250000E+03	1.854703E-17	6.432825E-19
3.260000E+03	1.878660E-17	6.511517E-19
3.270000E+03	1.903292E-17	6.592409E-19
3.280000E+03	1.928516E-17	6.675207E-19
3.290000E+03	1.954332E-17	6.759907E-19
3.300000E+03	1.980828E-17	6.846802E-19
3.310000E+03	2.008003E-17	6.935887E-19
3.320000E+03	2.035942E-17	7.027448E-19
3.330000E+03	2.064564E-17	7.121198E-19
3.340000E+03	2.094036E-17	7.217709E-19
3.350000E+03	2.124279E-17	7.316698E-19
3.360000E+03	2.155378E-17	7.418449E-19
3.370000E+03	2.187250E-17	7.522675E-19
3.380000E+03	2.220149E-17	7.630236E-19
3.390000E+03	2.253910E-17	7.740561E-19
3.400000E+03	2.288621E-17	7.853940E-19
