#wls	flux	fluxerr
1.600000E+03	1.467848E-17	1.793305E-17
1.640000E+03	1.488887E-17	1.802737E-17
1.680000E+03	1.511767E-17	1.813462E-17
1.720000E+03	1.536468E-17	1.825369E-17
1.760000E+03	1.563100E-17	1.838493E-17
1.800000E+03	1.591891E-17	1.853000E-17
1.840000E+03	1.622518E-17	1.868409E-17
1.880000E+03	1.655315E-17	1.884997E-17
1.920000E+03	1.690207E-17	1.902559E-17
1.960000E+03	1.727112E-17	1.920887E-17
2.000000E+03	1.765826E-17	1.939634E-17
2.040000E+03	1.806269E-17	1.958601E-17
2.080000E+03	1.848129E-17	1.977339E-17
2.120000E+03	1.890881E-17	1.995194E-17
2.160000E+03	1.934374E-17	2.011930E-17
2.200000E+03	1.978028E-17	2.026879E-17
2.240000E+03	2.021417E-17	2.039568E-17
2.280000E+03	2.064364E-17	2.049799E-17
2.320000E+03	2.106919E-17	2.057613E-17
2.360000E+03	2.149436E-17	2.063343E-17
2.400000E+03	2.192351E-17	2.067379E-17
2.440000E+03	2.236070E-17	2.070058E-17
2.480000E+03	2.281258E-17	2.071932E-17
2.520000E+03	2.328257E-17	2.073218E-17
2.560000E+03	2.377572E-17	2.074259E-17
2.600000E+03	2.429414E-17	2.075111E-17
2.640000E+03	2.484076E-17	2.075893E-17
2.680000E+03	2.541678E-17	2.076565E-17
2.720000E+03	2.602351E-17	2.077098E-17
2.760000E+03	2.666246E-17	2.077478E-17
2.800000E+03	2.733457E-17	2.077648E-17
2.840000E+03	2.804111E-17	2.077585E-17
2.880000E+03	2.878529E-17	2.077413E-17
2.920000E+03	2.956914E-17	2.077169E-17
2.960000E+03	3.039889E-17	2.077186E-17
3.000000E+03	3.127893E-17	2.077655E-17
3.010000E+03	3.150843E-17	2.077939E-17
3.020000E+03	3.174113E-17	2.078245E-17
3.030000E+03	3.197709E-17	2.078578E-17
3.040000E+03	3.221778E-17	2.079030E-17
3.050000E+03	3.246253E-17	2.079556E-17
3.060000E+03	3.271138E-17	2.080156E-17
3.070000E+03	3.296509E-17	2.080878E-17
3.080000E+03	3.322301E-17	2.081676E-17
3.090000E+03	3.348520E-17	2.082554E-17
3.100000E+03	3.375312E-17	2.083600E-17
3.110000E+03	3.402542E-17	2.084728E-17
3.120000E+03	3.430289E-17	2.085985E-17
3.130000E+03	3.458489E-17	2.087330E-17
3.140000E+03	3.487358E-17	2.088891E-17
3.150000E+03	3.516697E-17	2.090545E-17
3.160000E+03	3.546583E-17	2.092339E-17
3.170000E+03	3.577094E-17	2.094314E-17
3.180000E+03	3.608239E-17	2.096475E-17
3.190000E+03	3.639893E-17	2.098745E-17
3.200000E+03	3.672268E-17	2.101247E-17
3.210000E+03	3.705242E-17	2.103907E-17
3.220000E+03	3.738893E-17	2.106768E-17
3.230000E+03	3.773168E-17	2.109797E-17
3.240000E+03	3.808146E-17	2.113037E-17
3.250000E+03	3.843840E-17	2.116495E-17
3.260000E+03	3.880267E-17	2.120175E-17
3.270000E+03	3.917374E-17	2.124048E-17
3.280000E+03	3.955243E-17	2.128157E-17
3.290000E+03	3.993893E-17	2.132509E-17
3.300000E+03	4.033274E-17	2.137077E-17
3.310000E+03	4.073470E-17	2.141903E-17
3.320000E+03	4.114437E-17	2.146962E-17
3.330000E+03	4.156259E-17	2.152296E-17
3.340000E+03	4.198892E-17	2.157880E-17
3.350000E+03	4.242359E-17	2.163726E-17
3.360000E+03	4.286682E-17	2.169842E-17
3.370000E+03	4.331886E-17	2.176239E-17
3.380000E+03	4.377995E-17	2.182928E-17
3.390000E+03	4.424972E-17	2.189889E-17
3.400000E+03	4.472907E-17	2.197164E-17
3.410000E+03	4.521700E-17	2.204702E-17
3.420000E+03	4.571508E-17	2.212579E-17
3.430000E+03	4.622234E-17	2.220745E-17
3.440000E+03	4.673908E-17	2.229214E-17
3.450000E+03	4.726564E-17	2.237999E-17
3.460000E+03	4.780169E-17	2.247084E-17
3.470000E+03	4.834825E-17	2.256512E-17
3.480000E+03	4.890500E-17	2.266269E-17
3.490000E+03	4.947170E-17	2.276339E-17
3.500000E+03	5.004871E-17	2.286738E-17
3.510000E+03	5.063578E-17	2.297451E-17
3.520000E+03	5.123396E-17	2.308523E-17
3.530000E+03	5.184173E-17	2.319882E-17
3.540000E+03	5.246017E-17	2.331575E-17
3.550000E+03	5.308905E-17	2.343587E-17
3.560000E+03	5.372882E-17	2.355935E-17
3.570000E+03	5.437865E-17	2.368580E-17
