#wls	flux	fluxerr
1.600000E+03	1.334854E-17	1.593518E-17
1.640000E+03	1.352779E-17	1.598413E-17
1.680000E+03	1.372021E-17	1.603918E-17
1.720000E+03	1.392842E-17	1.610258E-17
1.760000E+03	1.415186E-17	1.617272E-17
1.800000E+03	1.439148E-17	1.624974E-17
1.840000E+03	1.464968E-17	1.633529E-17
1.880000E+03	1.492579E-17	1.642744E-17
1.920000E+03	1.522209E-17	1.652749E-17
1.960000E+03	1.553780E-17	1.663326E-17
2.000000E+03	1.587656E-17	1.674722E-17
2.040000E+03	1.623746E-17	1.686686E-17
2.080000E+03	1.662253E-17	1.699264E-17
2.120000E+03	1.703363E-17	1.712470E-17
2.160000E+03	1.747679E-17	1.726707E-17
2.200000E+03	1.795497E-17	1.742034E-17
2.240000E+03	1.848062E-17	1.759382E-17
2.280000E+03	1.906157E-17	1.779150E-17
2.320000E+03	1.970261E-17	1.801391E-17
2.360000E+03	2.040432E-17	1.825725E-17
2.400000E+03	2.116586E-17	1.851634E-17
2.440000E+03	2.198774E-17	1.878708E-17
2.480000E+03	2.287172E-17	1.906623E-17
2.520000E+03	2.382205E-17	1.935231E-17
2.560000E+03	2.484282E-17	1.964323E-17
2.600000E+03	2.593549E-17	1.993443E-17
2.640000E+03	2.710521E-17	2.022385E-17
2.680000E+03	2.835336E-17	2.050617E-17
2.720000E+03	2.968259E-17	2.077672E-17
2.760000E+03	3.109439E-17	2.102981E-17
2.800000E+03	3.258923E-17	2.125889E-17
2.840000E+03	3.416902E-17	2.145832E-17
2.880000E+03	3.583361E-17	2.162110E-17
2.920000E+03	3.759251E-17	2.174598E-17
2.960000E+03	3.946336E-17	2.183550E-17
3.000000E+03	4.147283E-17	2.189547E-17
3.010000E+03	4.199948E-17	2.190603E-17
3.020000E+03	4.253671E-17	2.191494E-17
3.030000E+03	4.308566E-17	2.192257E-17
3.040000E+03	4.364632E-17	2.192873E-17
3.050000E+03	4.421867E-17	2.193320E-17
3.060000E+03	4.480496E-17	2.193688E-17
3.070000E+03	4.540295E-17	2.193845E-17
3.080000E+03	4.601487E-17	2.193879E-17
3.090000E+03	4.664073E-17	2.193767E-17
3.100000E+03	4.728165E-17	2.193537E-17
3.110000E+03	4.793763E-17	2.193167E-17
3.120000E+03	4.860980E-17	2.192682E-17
3.130000E+03	4.929817E-17	2.192057E-17
3.140000E+03	5.000277E-17	2.191269E-17
3.150000E+03	5.072474E-17	2.190342E-17
3.160000E+03	5.146520E-17	2.189298E-17
3.170000E+03	5.222419E-17	2.188110E-17
3.180000E+03	5.300177E-17	2.186755E-17
3.190000E+03	5.379909E-17	2.185252E-17
3.200000E+03	5.461729E-17	2.183620E-17
3.210000E+03	5.545646E-17	2.181833E-17
3.220000E+03	5.631667E-17	2.179866E-17
3.230000E+03	5.719804E-17	2.177697E-17
3.240000E+03	5.810281E-17	2.175384E-17
3.250000E+03	5.903112E-17	2.172903E-17
3.260000E+03	5.998309E-17	2.170231E-17
3.270000E+03	6.095888E-17	2.167346E-17
3.280000E+03	6.195972E-17	2.164267E-17
3.290000E+03	6.298471E-17	2.160938E-17
3.300000E+03	6.403727E-17	2.157451E-17
3.310000E+03	6.511547E-17	2.153717E-17
3.320000E+03	6.621954E-17	2.149722E-17
3.330000E+03	6.735188E-17	2.145524E-17
3.340000E+03	6.851170E-17	2.141078E-17
3.350000E+03	6.969929E-17	2.136376E-17
3.360000E+03	7.091497E-17	2.131416E-17
3.370000E+03	7.215911E-17	2.126194E-17
3.380000E+03	7.343208E-17	2.120714E-17
3.390000E+03	7.473322E-17	2.114950E-17
3.400000E+03	7.606508E-17	2.108972E-17
3.410000E+03	7.742495E-17	2.102705E-17
3.420000E+03	7.881333E-17	2.096169E-17
3.430000E+03	8.023181E-17	2.089413E-17
3.440000E+03	8.167882E-17	2.082412E-17
3.450000E+03	8.315285E-17	2.075145E-17
3.460000E+03	8.465559E-17	2.067679E-17
3.470000E+03	8.618558E-17	2.060007E-17
3.480000E+03	8.774141E-17	2.052130E-17
3.490000E+03	8.932275E-17	2.044082E-17
3.500000E+03	9.092826E-17	2.035878E-17
3.510000E+03	9.255449E-17	2.027495E-17
3.520000E+03	9.420122E-17	2.018989E-17
3.530000E+03	9.586506E-17	2.010353E-17
3.540000E+03	9.754370E-17	2.001611E-17
3.550000E+03	9.923166E-17	1.992732E-17
3.560000E+03	1.009267E-16	1.983754E-17
3.570000E+03	1.026243E-16	1.974682E-17
3.580000E+03	1.043190E-16	1.965506E-17
3.590000E+03	1.060085E-16	1.956281E-17
3.600000E+03	1.076883E-16	1.947024E-17
3.610000E+03	1.093539E-16	1.937753E-17
3.620000E+03	1.110039E-16	1.928543E-17
3.630000E+03	1.126370E-16	1.919464E-17
3.640000E+03	1.142537E-16	1.910614E-17
3.650000E+03	1.158516E-16	1.902032E-17
3.660000E+03	1.174312E-16	1.893799E-17
3.670000E+03	1.189921E-16	1.885972E-17
3.680000E+03	1.205369E-16	1.878648E-17
3.690000E+03	1.220628E-16	1.871826E-17
3.700000E+03	1.235735E-16	1.865599E-17
3.710000E+03	1.250672E-16	1.859966E-17
3.720000E+03	1.265453E-16	1.854963E-17
3.730000E+03	1.280091E-16	1.850619E-17
3.740000E+03	1.294589E-16	1.846935E-17
3.750000E+03	1.308948E-16	1.843908E-17
3.760000E+03	1.323191E-16	1.841554E-17
3.770000E+03	1.337308E-16	1.839838E-17
3.780000E+03	1.351332E-16	1.838781E-17
3.790000E+03	1.365240E-16	1.838319E-17
3.800000E+03	1.379066E-16	1.838465E-17
3.810000E+03	1.392797E-16	1.839163E-17
3.820000E+03	1.406453E-16	1.840401E-17
3.827900E+03	3.105257E-16	NAN
3.853400E+03	2.434079E-16	NAN
3.879000E+03	2.948608E-16	NAN
3.904600E+03	3.127521E-16	NAN
3.930100E+03	2.724380E-16	NAN
3.955700E+03	2.312857E-16	NAN
3.981300E+03	2.193828E-16	NAN
4.006800E+03	2.394781E-16	NAN
4.032400E+03	1.876570E-16	NAN
4.058000E+03	2.973221E-17	NAN
4.083600E+03	4.395929E-17	NAN
4.109100E+03	1.555248E-16	NAN
4.134700E+03	1.700428E-16	NAN
4.160300E+03	1.412167E-16	NAN
4.185800E+03	1.043029E-16	NAN
4.211400E+03	1.436708E-16	NAN
4.237000E+03	2.304500E-16	NAN
4.262600E+03	2.602122E-16	NAN
4.288100E+03	2.243423E-16	NAN
4.313700E+03	2.555162E-16	NAN
4.339300E+03	2.611550E-16	NAN
4.364800E+03	2.436585E-16	NAN
4.390400E+03	2.331821E-16	NAN
4.416000E+03	2.801458E-16	NAN
4.441600E+03	2.476670E-16	NAN
4.467100E+03	2.835707E-16	NAN
4.492700E+03	2.652821E-16	NAN
4.518300E+03	2.788452E-16	NAN
4.543800E+03	3.148643E-16	NAN
4.569400E+03	3.106037E-16	NAN
4.595000E+03	2.612987E-16	NAN
4.620500E+03	2.900431E-16	NAN
4.646100E+03	2.732146E-16	NAN
4.671700E+03	2.853494E-16	NAN
4.697300E+03	2.923180E-16	NAN
4.722800E+03	2.829964E-16	NAN
4.748400E+03	2.546011E-16	NAN
4.774000E+03	2.272425E-16	NAN
4.799500E+03	2.052075E-16	NAN
4.825100E+03	1.975184E-16	NAN
4.850700E+03	1.749951E-16	NAN
4.876300E+03	1.784146E-16	NAN
4.901800E+03	2.063991E-16	NAN
4.927400E+03	2.225081E-16	NAN
4.953000E+03	2.177135E-16	NAN
4.978500E+03	2.373510E-16	NAN
5.004100E+03	2.464674E-16	NAN
5.029700E+03	2.581055E-16	NAN
5.055300E+03	2.540414E-16	NAN
5.080800E+03	2.528870E-16	NAN
5.106400E+03	2.634872E-16	NAN
5.132000E+03	2.786086E-16	NAN
5.157500E+03	2.820367E-16	NAN
5.183100E+03	2.958011E-16	NAN
5.208700E+03	3.203277E-16	NAN
5.234200E+03	3.416360E-16	NAN
5.259800E+03	3.435372E-16	NAN
5.285400E+03	3.581308E-16	NAN
5.311000E+03	3.732481E-16	NAN
5.336500E+03	3.758942E-16	NAN
5.362100E+03	3.856267E-16	NAN
5.387700E+03	3.889643E-16	NAN
5.413200E+03	4.014686E-16	NAN
5.438800E+03	3.949759E-16	NAN
5.464400E+03	3.964987E-16	NAN
5.490000E+03	3.978467E-16	NAN
5.515500E+03	4.156334E-16	NAN
5.541100E+03	4.499805E-16	NAN
5.566700E+03	4.508731E-16	NAN
5.592200E+03	4.430685E-16	NAN
5.617800E+03	4.210358E-16	NAN
5.643400E+03	3.920417E-16	NAN
5.668900E+03	3.937765E-16	NAN
5.694500E+03	3.915296E-16	NAN
5.720100E+03	3.696994E-16	NAN
5.745700E+03	3.515185E-16	NAN
5.771200E+03	3.192747E-16	NAN
5.796800E+03	3.147377E-16	NAN
5.822400E+03	3.231303E-16	NAN
5.847900E+03	3.229785E-16	NAN
5.873500E+03	3.130832E-16	NAN
5.899100E+03	2.861840E-16	NAN
5.924700E+03	2.641605E-16	NAN
5.950200E+03	2.571134E-16	NAN
5.975800E+03	2.519246E-16	NAN
6.001400E+03	2.522754E-16	NAN
6.026900E+03	2.409976E-16	NAN
6.052500E+03	2.318028E-16	NAN
6.078100E+03	2.367903E-16	NAN
6.103700E+03	2.520463E-16	NAN
6.129200E+03	2.534363E-16	NAN
6.154800E+03	2.392974E-16	NAN
6.180400E+03	2.125994E-16	NAN
6.205900E+03	1.977975E-16	NAN
6.231500E+03	2.090001E-16	NAN
6.257100E+03	2.355033E-16	NAN
6.282600E+03	2.421995E-16	NAN
6.308200E+03	2.354543E-16	NAN
6.333800E+03	2.207163E-16	NAN
6.359400E+03	2.118364E-16	NAN
6.384900E+03	2.269017E-16	NAN
6.410500E+03	2.408667E-16	NAN
6.436100E+03	2.528100E-16	NAN
6.461600E+03	2.664088E-16	NAN
6.487200E+03	2.660307E-16	NAN
6.512800E+03	2.621593E-16	NAN
6.538400E+03	2.668955E-16	NAN
6.563900E+03	2.779213E-16	NAN
6.589500E+03	2.912983E-16	NAN
6.615100E+03	2.959537E-16	NAN
6.640600E+03	2.936676E-16	NAN
6.666200E+03	2.920102E-16	NAN
6.691800E+03	2.875423E-16	NAN
6.717400E+03	2.853461E-16	NAN
6.742900E+03	2.838649E-16	NAN
6.768500E+03	2.779918E-16	NAN
6.794100E+03	2.666720E-16	NAN
6.819600E+03	2.523767E-16	NAN
6.845200E+03	2.486561E-16	NAN
6.870800E+03	2.619186E-16	NAN
6.896300E+03	2.661178E-16	NAN
