#wls	flux	fluxerr	mangling_mask
3.776700E+03	3.619009E-16	NAN	2.954534E-01
3.802300E+03	4.014513E-16	NAN	2.960992E-01
3.827900E+03	5.295612E-16	NAN	2.967394E-01
3.853400E+03	6.259955E-16	NAN	2.973709E-01
3.879000E+03	6.117901E-16	NAN	2.979981E-01
3.904600E+03	5.945184E-16	NAN	2.986179E-01
3.930100E+03	5.760124E-16	NAN	2.992272E-01
3.955700E+03	7.338344E-16	NAN	2.998302E-01
3.981300E+03	7.417462E-16	NAN	3.004237E-01
4.006800E+03	6.875855E-16	NAN	3.010049E-01
4.032400E+03	5.875332E-16	NAN	3.015774E-01
4.058000E+03	5.607385E-16	NAN	3.021383E-01
4.083600E+03	5.296714E-16	NAN	3.026867E-01
4.109100E+03	5.388214E-16	NAN	3.032197E-01
4.134700E+03	5.502262E-16	NAN	3.037406E-01
4.160300E+03	5.987267E-16	NAN	3.042465E-01
4.185800E+03	6.074272E-16	NAN	3.047345E-01
4.211400E+03	6.027541E-16	NAN	3.052074E-01
4.237000E+03	5.757762E-16	NAN	3.056624E-01
4.262600E+03	6.041157E-16	NAN	3.060983E-01
4.288100E+03	6.283815E-16	NAN	3.065126E-01
4.313700E+03	6.522396E-16	NAN	3.069074E-01
4.339300E+03	6.866474E-16	NAN	3.072798E-01
4.364800E+03	6.205458E-16	NAN	3.076273E-01
4.390400E+03	5.877562E-16	NAN	3.079515E-01
4.416000E+03	5.874005E-16	NAN	3.082496E-01
4.441600E+03	5.801726E-16	NAN	3.085204E-01
4.467100E+03	6.169672E-16	NAN	3.087615E-01
4.492700E+03	6.711831E-16	NAN	3.089735E-01
4.518300E+03	6.569827E-16	NAN	3.091538E-01
4.543800E+03	6.394478E-16	NAN	3.093005E-01
4.569400E+03	5.934853E-16	NAN	3.094131E-01
4.595000E+03	5.609496E-16	NAN	3.094894E-01
4.620500E+03	5.796215E-16	NAN	3.095277E-01
4.646100E+03	5.845096E-16	NAN	3.095264E-01
4.671700E+03	5.792295E-16	NAN	3.094836E-01
4.697300E+03	5.662592E-16	NAN	3.093974E-01
4.722800E+03	5.662362E-16	NAN	3.092666E-01
4.748400E+03	5.534840E-16	NAN	3.090881E-01
4.774000E+03	5.460032E-16	NAN	3.088603E-01
4.799500E+03	5.421798E-16	NAN	3.085827E-01
4.825100E+03	5.345444E-16	NAN	3.082547E-01
4.850700E+03	5.292148E-16	NAN	3.078799E-01
4.876300E+03	5.462663E-16	NAN	3.074612E-01
4.901800E+03	5.516229E-16	NAN	3.070029E-01
4.927400E+03	5.773313E-16	NAN	3.065042E-01
4.953000E+03	5.891742E-16	NAN	3.059692E-01
4.978500E+03	5.823111E-16	NAN	3.054026E-01
5.004100E+03	5.687919E-16	NAN	3.048025E-01
5.029700E+03	5.512534E-16	NAN	3.041734E-01
5.055300E+03	5.544658E-16	NAN	3.035175E-01
5.080800E+03	5.709441E-16	NAN	3.028399E-01
5.106400E+03	5.668100E-16	NAN	3.021375E-01
5.132000E+03	5.668112E-16	NAN	3.014151E-01
5.157500E+03	5.511424E-16	NAN	3.006778E-01
5.183100E+03	5.242035E-16	NAN	2.999219E-01
5.208700E+03	5.218114E-16	NAN	2.991523E-01
5.234200E+03	5.285998E-16	NAN	2.983742E-01
5.259800E+03	5.169026E-16	NAN	2.975835E-01
5.285400E+03	5.151005E-16	NAN	2.967853E-01
