#wls	flux	fluxerr
1.572591E+03	1.613112E-02	1.172749E-03
1.611906E+03	1.591115E-02	1.129725E-03
1.651221E+03	1.566437E-02	1.085792E-03
1.690536E+03	1.538892E-02	1.041040E-03
1.729850E+03	1.508453E-02	9.956741E-04
1.769165E+03	1.475220E-02	9.499816E-04
1.808480E+03	1.438811E-02	9.039374E-04
1.847795E+03	1.399506E-02	8.579367E-04
1.887110E+03	1.357267E-02	8.121567E-04
1.926424E+03	1.312157E-02	7.668186E-04
1.965739E+03	1.264288E-02	7.221486E-04
2.005054E+03	1.214089E-02	6.785161E-04
2.044369E+03	1.162173E-02	6.363419E-04
2.083683E+03	1.109912E-02	5.963925E-04
2.122998E+03	1.060463E-02	5.602706E-04
2.162313E+03	1.016966E-02	5.293772E-04
2.201628E+03	9.821140E-03	5.047990E-04
2.240943E+03	9.578368E-03	4.872046E-04
2.280257E+03	9.444825E-03	4.764441E-04
2.319572E+03	9.413893E-03	4.719141E-04
2.358887E+03	9.476959E-03	4.729869E-04
2.398202E+03	9.625049E-03	4.790797E-04
2.437517E+03	9.850516E-03	4.897242E-04
2.476831E+03	1.014442E-02	5.044245E-04
2.516146E+03	1.049832E-02	5.227360E-04
2.555461E+03	1.090226E-02	5.441560E-04
2.594776E+03	1.134770E-02	5.682625E-04
2.634090E+03	1.182998E-02	5.948351E-04
2.673405E+03	1.234924E-02	6.238999E-04
2.712720E+03	1.290761E-02	6.555950E-04
2.752035E+03	1.350787E-02	6.901015E-04
2.791350E+03	1.415343E-02	7.276463E-04
2.830664E+03	1.484897E-02	7.685313E-04
2.869979E+03	1.559833E-02	8.129682E-04
2.909294E+03	1.640730E-02	8.612202E-04
2.948609E+03	1.728051E-02	9.134837E-04
2.958437E+03	1.750997E-02	9.272297E-04
2.968266E+03	1.774364E-02	9.412317E-04
2.978095E+03	1.798153E-02	9.554906E-04
2.987923E+03	1.822452E-02	9.700509E-04
2.997752E+03	1.847223E-02	9.848921E-04
3.007581E+03	1.872469E-02	1.000015E-03
3.017410E+03	1.898236E-02	1.015442E-03
3.027238E+03	1.924487E-02	1.031153E-03
3.037067E+03	1.951223E-02	1.047147E-03
3.046896E+03	1.978531E-02	1.063468E-03
3.056724E+03	2.006329E-02	1.080074E-03
3.066553E+03	2.034663E-02	1.096984E-03
3.076382E+03	2.063491E-02	1.114178E-03
3.086210E+03	2.092940E-02	1.131720E-03
3.096039E+03	2.122885E-02	1.149542E-03
3.105868E+03	2.153369E-02	1.167666E-03
3.115697E+03	2.184431E-02	1.186111E-03
3.125525E+03	2.216072E-02	1.204875E-03
3.135354E+03	2.248206E-02	1.223910E-03
3.145183E+03	2.280954E-02	1.243280E-03
3.155011E+03	2.314231E-02	1.262936E-03
3.164840E+03	2.348073E-02	1.282896E-03
3.174669E+03	2.382432E-02	1.303132E-03
3.184497E+03	2.417344E-02	1.323660E-03
3.194326E+03	2.452800E-02	1.344473E-03
3.204155E+03	2.488791E-02	1.365565E-03
3.213983E+03	2.525264E-02	1.386901E-03
3.223812E+03	2.562247E-02	1.408498E-03
3.233641E+03	2.599726E-02	1.430342E-03
3.243470E+03	2.637643E-02	1.452400E-03
3.253298E+03	2.676021E-02	1.474681E-03
3.263127E+03	2.714795E-02	1.497146E-03
3.272956E+03	2.753985E-02	1.519803E-03
