#wls	flux	fluxerr
1.572591E+03	8.425558E-04	1.226722E-05
1.611906E+03	8.128288E-04	1.183228E-05
1.651221E+03	7.839585E-04	1.140990E-05
1.690536E+03	7.558398E-04	1.099857E-05
1.729850E+03	7.286293E-04	1.060054E-05
1.769165E+03	7.023431E-04	1.021607E-05
1.808480E+03	6.771069E-04	9.846964E-06
1.847795E+03	6.530247E-04	9.494738E-06
1.887110E+03	6.300781E-04	9.159118E-06
1.926424E+03	6.084455E-04	8.842687E-06
1.965739E+03	5.880821E-04	8.544791E-06
2.005054E+03	5.690351E-04	8.266103E-06
2.044369E+03	5.514257E-04	8.008374E-06
2.083683E+03	5.351819E-04	7.770550E-06
2.122998E+03	5.205562E-04	7.556281E-06
2.162313E+03	5.073718E-04	7.362991E-06
2.201628E+03	4.956937E-04	7.191606E-06
2.240943E+03	4.853612E-04	7.039780E-06
2.280257E+03	4.763026E-04	6.906463E-06
2.319572E+03	4.683914E-04	6.789804E-06
2.358887E+03	4.616448E-04	6.690042E-06
2.398202E+03	4.558993E-04	6.604794E-06
2.437517E+03	4.511915E-04	6.534575E-06
2.476831E+03	4.474457E-04	6.478280E-06
2.516146E+03	4.446558E-04	6.435808E-06
2.555461E+03	4.428755E-04	6.407919E-06
2.594776E+03	4.420081E-04	6.393201E-06
2.634090E+03	4.421731E-04	6.393370E-06
2.673405E+03	4.433437E-04	6.408020E-06
2.712720E+03	4.456925E-04	6.439630E-06
2.752035E+03	4.492517E-04	6.488643E-06
2.791350E+03	4.541535E-04	6.556947E-06
2.830664E+03	4.602737E-04	6.642724E-06
2.869979E+03	4.676845E-04	6.746994E-06
2.909294E+03	4.763005E-04	6.868500E-06
2.948609E+03	4.863483E-04	7.010481E-06
2.958437E+03	4.890911E-04	7.049274E-06
2.968266E+03	4.919008E-04	7.089020E-06
2.978095E+03	4.948622E-04	7.130938E-06
2.987923E+03	4.978942E-04	7.173862E-06
2.997752E+03	5.010403E-04	7.218416E-06
3.007581E+03	5.043025E-04	7.264627E-06
3.017410E+03	5.076826E-04	7.312524E-06
3.027238E+03	5.111418E-04	7.361544E-06
3.037067E+03	5.147643E-04	7.412901E-06
3.046896E+03	5.185113E-04	7.466035E-06
3.056724E+03	5.223851E-04	7.520978E-06
3.066553E+03	5.263880E-04	7.577763E-06
3.076382E+03	5.305633E-04	7.637012E-06
3.086210E+03	5.348316E-04	7.697582E-06
3.096039E+03	5.393185E-04	7.761279E-06
3.105868E+03	5.439036E-04	7.826370E-06
3.115697E+03	5.487126E-04	7.894662E-06
3.125525E+03	5.536664E-04	7.965018E-06
3.135354E+03	5.587679E-04	8.037477E-06
3.145183E+03	5.641022E-04	8.113263E-06
3.155011E+03	5.696318E-04	8.191833E-06
3.164840E+03	5.753594E-04	8.273228E-06
3.174669E+03	5.812890E-04	8.357503E-06
3.184497E+03	5.874245E-04	8.444713E-06
3.194326E+03	5.938102E-04	8.535493E-06
3.204155E+03	6.004091E-04	8.629310E-06
3.213983E+03	6.073079E-04	8.727408E-06
3.223812E+03	6.144283E-04	8.828663E-06
3.233641E+03	6.218582E-04	8.934332E-06
3.243470E+03	6.295606E-04	9.043886E-06
3.253298E+03	6.375830E-04	9.158004E-06
3.263127E+03	6.458876E-04	9.276139E-06
3.272956E+03	6.545653E-04	9.399599E-06
3.282784E+03	6.635794E-04	9.527851E-06
3.292613E+03	6.729366E-04	9.660990E-06
3.302442E+03	6.827280E-04	9.800323E-06
3.312270E+03	6.929195E-04	9.945357E-06
3.322099E+03	7.035173E-04	1.009618E-05
3.331928E+03	7.145729E-04	1.025352E-05
3.341757E+03	7.261388E-04	1.041815E-05
3.351585E+03	7.382236E-04	1.059016E-05
3.361414E+03	7.508377E-04	1.076971E-05
