#wls	flux	fluxerr
1.572591E+03	3.253049E-03	1.097718E-04
1.611906E+03	3.238731E-03	1.091684E-04
1.651221E+03	3.207386E-03	1.079895E-04
1.690536E+03	3.159833E-03	1.062646E-04
1.729850E+03	3.095366E-03	1.039720E-04
1.769165E+03	3.013375E-03	1.010933E-04
1.808480E+03	2.911160E-03	9.754042E-05
1.847795E+03	2.787530E-03	9.327645E-05
1.887110E+03	2.641621E-03	8.827560E-05
1.926424E+03	2.474638E-03	8.258159E-05
1.965739E+03	2.293506E-03	7.642860E-05
2.005054E+03	2.111797E-03	7.027084E-05
2.044369E+03	1.950506E-03	6.480666E-05
2.083683E+03	1.833048E-03	6.081030E-05
2.122998E+03	1.775934E-03	5.882236E-05
2.162313E+03	1.781562E-03	5.891282E-05
2.201628E+03	1.838612E-03	6.069775E-05
2.240943E+03	1.929050E-03	6.357395E-05
2.280257E+03	2.035978E-03	6.697945E-05
2.319572E+03	2.148332E-03	7.054747E-05
2.358887E+03	2.260150E-03	7.408106E-05
2.398202E+03	2.369628E-03	7.752069E-05
2.437517E+03	2.476911E-03	8.087097E-05
2.476831E+03	2.583587E-03	8.418348E-05
2.516146E+03	2.691350E-03	8.751279E-05
2.555461E+03	2.802166E-03	9.092183E-05
2.594776E+03	2.917538E-03	9.445804E-05
2.634090E+03	3.038828E-03	9.816369E-05
2.673405E+03	3.167260E-03	1.020762E-04
2.712720E+03	3.303671E-03	1.062201E-04
2.752035E+03	3.448883E-03	1.106190E-04
2.791350E+03	3.603660E-03	1.152945E-04
2.830664E+03	3.769065E-03	1.202771E-04
2.869979E+03	3.946712E-03	1.256145E-04
2.909294E+03	4.138797E-03	1.313721E-04
2.948609E+03	4.348341E-03	1.376407E-04
2.958437E+03	4.403871E-03	1.393001E-04
2.968266E+03	4.460696E-03	1.409974E-04
2.978095E+03	4.519050E-03	1.427398E-04
2.987923E+03	4.578848E-03	1.445246E-04
2.997752E+03	4.640650E-03	1.463693E-04
3.007581E+03	4.704821E-03	1.482852E-04
3.017410E+03	4.771419E-03	1.502739E-04
3.027238E+03	4.840202E-03	1.523278E-04
3.037067E+03	4.911446E-03	1.544552E-04
3.046896E+03	4.984922E-03	1.566487E-04
3.056724E+03	5.060823E-03	1.589142E-04
3.066553E+03	5.139138E-03	1.612512E-04
3.076382E+03	5.219765E-03	1.636563E-04
3.086210E+03	5.302916E-03	1.661359E-04
3.096039E+03	5.388498E-03	1.686868E-04
3.105868E+03	5.476637E-03	1.713129E-04
3.115697E+03	5.567355E-03	1.740145E-04
3.125525E+03	5.660682E-03	1.767924E-04
3.135354E+03	5.756758E-03	1.796507E-04
3.145183E+03	5.855628E-03	1.825906E-04
3.155011E+03	5.957236E-03	1.856101E-04
3.164840E+03	6.061837E-03	1.887168E-04
3.174669E+03	6.169387E-03	1.919091E-04
3.184497E+03	6.280052E-03	1.951920E-04
3.194326E+03	6.393897E-03	1.985670E-04
3.204155E+03	6.510886E-03	2.020330E-04
3.213983E+03	6.631301E-03	2.055982E-04
3.223812E+03	6.755007E-03	2.092581E-04
3.233641E+03	6.882295E-03	2.130215E-04
3.243470E+03	7.013245E-03	2.168906E-04
3.253298E+03	7.147727E-03	2.208608E-04
3.263127E+03	7.286037E-03	2.249412E-04
3.272956E+03	7.428258E-03	2.291337E-04
3.282784E+03	7.574371E-03	2.334375E-04
3.292613E+03	7.724460E-03	2.378548E-04
3.302442E+03	7.878608E-03	2.423877E-04
3.312270E+03	8.036905E-03	2.470386E-04
3.322099E+03	8.199429E-03	2.518096E-04
3.331928E+03	8.366272E-03	2.567029E-04
