#wls	flux	fluxerr
1.572591E+03	4.782964E-04	6.550780E-06
1.611906E+03	4.680735E-04	6.406357E-06
1.651221E+03	4.558847E-04	6.235110E-06
1.690536E+03	4.419339E-04	6.039889E-06
1.729850E+03	4.262992E-04	5.821824E-06
1.769165E+03	4.088690E-04	5.579454E-06
1.808480E+03	3.894208E-04	5.309816E-06
1.847795E+03	3.679034E-04	5.012293E-06
1.887110E+03	3.441549E-04	4.684768E-06
1.926424E+03	3.184747E-04	4.331413E-06
1.965739E+03	2.917387E-04	3.964222E-06
2.005054E+03	2.656767E-04	3.606742E-06
2.044369E+03	2.427850E-04	3.292829E-06
2.083683E+03	2.258824E-04	3.060577E-06
2.122998E+03	2.167954E-04	2.934487E-06
2.162313E+03	2.156130E-04	2.915448E-06
2.201628E+03	2.208554E-04	2.983140E-06
2.240943E+03	2.303031E-04	3.107329E-06
2.280257E+03	2.418071E-04	3.258853E-06
2.319572E+03	2.538253E-04	3.416841E-06
2.358887E+03	2.655408E-04	3.570268E-06
2.398202E+03	2.765447E-04	3.713642E-06
2.437517E+03	2.868505E-04	3.847160E-06
2.476831E+03	2.965018E-04	3.971427E-06
2.516146E+03	3.057706E-04	4.090100E-06
2.555461E+03	3.147883E-04	4.204940E-06
2.594776E+03	3.238123E-04	4.319378E-06
2.634090E+03	3.330090E-04	4.435614E-06
2.673405E+03	3.425576E-04	4.556004E-06
2.712720E+03	3.526759E-04	4.683405E-06
2.752035E+03	3.634533E-04	4.818946E-06
2.791350E+03	3.751001E-04	4.965354E-06
2.830664E+03	3.877361E-04	5.124132E-06
2.869979E+03	4.015598E-04	5.297813E-06
2.909294E+03	4.168261E-04	5.489647E-06
2.948609E+03	4.338719E-04	5.703938E-06
2.958437E+03	4.384724E-04	5.761802E-06
2.968266E+03	4.431929E-04	5.821173E-06
2.978095E+03	4.480590E-04	5.882381E-06
2.987923E+03	4.531051E-04	5.945879E-06
2.997752E+03	4.583663E-04	6.012120E-06
3.007581E+03	4.638569E-04	6.081288E-06
3.017410E+03	4.695947E-04	6.153611E-06
3.027238E+03	4.755752E-04	6.229025E-06
3.037067E+03	4.817960E-04	6.307493E-06
3.046896E+03	4.882764E-04	6.389264E-06
3.056724E+03	4.949934E-04	6.474030E-06
3.066553E+03	5.019902E-04	6.562351E-06
3.076382E+03	5.092225E-04	6.653641E-06
3.086210E+03	5.167580E-04	6.748779E-06
3.096039E+03	5.245307E-04	6.846899E-06
3.105868E+03	5.326098E-04	6.948896E-06
3.115697E+03	5.409757E-04	7.054509E-06
3.125525E+03	5.496540E-04	7.164064E-06
3.135354E+03	5.586259E-04	7.277309E-06
3.145183E+03	5.679184E-04	7.394588E-06
3.155011E+03	5.775590E-04	7.516254E-06
3.164840E+03	5.875311E-04	7.642081E-06
3.174669E+03	5.978635E-04	7.772437E-06
3.184497E+03	6.085858E-04	7.907696E-06
3.194326E+03	6.197056E-04	8.047949E-06
3.204155E+03	6.312080E-04	8.192992E-06
3.213983E+03	6.431479E-04	8.343530E-06
3.223812E+03	6.555348E-04	8.499673E-06
3.233641E+03	6.683551E-04	8.661237E-06
3.243470E+03	6.816665E-04	8.828956E-06
3.253298E+03	6.954801E-04	9.002965E-06
3.263127E+03	7.098318E-04	9.183713E-06
3.272956E+03	7.247109E-04	9.371050E-06
3.282784E+03	7.401307E-04	9.565136E-06
3.292613E+03	7.561767E-04	9.767061E-06
3.302442E+03	7.728172E-04	9.976398E-06
3.312270E+03	7.900913E-04	1.019364E-05
3.322099E+03	8.080158E-04	1.041899E-05
3.331928E+03	8.266326E-04	1.065296E-05
3.341757E+03	8.459846E-04	1.089610E-05
3.351585E+03	8.660419E-04	1.114800E-05
3.361414E+03	8.868738E-04	1.140953E-05
3.371243E+03	9.085018E-04	1.168095E-05
3.381071E+03	9.309219E-04	1.196219E-05
3.390900E+03	9.541564E-04	1.225352E-05
3.400729E+03	9.782797E-04	1.255586E-05
3.410557E+03	1.003239E-03	1.286852E-05
3.420386E+03	1.029084E-03	1.319211E-05
3.430215E+03	1.055839E-03	1.352693E-05
3.440043E+03	1.083479E-03	1.387261E-05
3.449872E+03	1.112028E-03	1.422946E-05
3.459701E+03	1.141458E-03	1.459709E-05
3.469530E+03	1.171795E-03	1.497579E-05
3.479358E+03	1.203037E-03	1.536554E-05
3.489187E+03	1.235155E-03	1.576592E-05
3.499016E+03	1.268145E-03	1.617688E-05
3.508844E+03	1.302033E-03	1.659869E-05
3.518673E+03	1.336785E-03	1.703092E-05
3.528502E+03	1.372397E-03	1.747349E-05
3.538330E+03	1.408833E-03	1.792591E-05
3.548159E+03	1.446057E-03	1.838769E-05
3.557988E+03	1.484086E-03	1.885905E-05
3.567817E+03	1.522882E-03	1.933946E-05
3.577645E+03	1.562461E-03	1.982910E-05
3.587474E+03	1.602840E-03	2.032817E-05
3.597303E+03	1.644034E-03	2.083684E-05
3.607131E+03	1.686060E-03	2.135529E-05
