#wls	flux	fluxerr
1.572591E+03	5.386183E-17	5.216477E-18
1.611906E+03	5.391351E-17	5.032715E-18
1.651221E+03	5.356695E-17	4.814310E-18
1.690536E+03	5.281315E-17	4.565242E-18
1.729850E+03	5.164546E-17	4.289774E-18
1.769165E+03	5.003131E-17	3.990103E-18
1.808480E+03	4.791406E-17	3.666843E-18
1.847795E+03	4.526922E-17	3.323414E-18
1.887110E+03	4.208986E-17	2.964353E-18
1.926424E+03	3.843215E-17	2.597960E-18
1.965739E+03	3.445417E-17	2.237797E-18
2.005054E+03	3.045105E-17	1.903562E-18
2.044369E+03	2.682320E-17	1.617853E-18
2.083683E+03	2.397839E-17	1.400068E-18
2.122998E+03	2.220722E-17	1.260128E-18
2.162313E+03	2.157170E-17	1.194629E-18
2.201628E+03	2.195519E-17	1.191946E-18
2.240943E+03	2.316834E-17	1.238698E-18
2.280257E+03	2.500169E-17	1.322044E-18
2.319572E+03	2.727678E-17	1.431904E-18
2.358887E+03	2.987906E-17	1.562155E-18
2.398202E+03	3.274746E-17	1.709649E-18
2.437517E+03	3.585947E-17	1.873247E-18
2.476831E+03	3.920440E-17	2.052356E-18
2.516146E+03	4.277689E-17	2.246598E-18
2.555461E+03	4.656155E-17	2.455021E-18
2.594776E+03	5.054199E-17	2.676596E-18
2.634090E+03	5.471561E-17	2.911040E-18
2.673405E+03	5.910099E-17	3.159269E-18
2.712720E+03	6.372549E-17	3.422793E-18
2.752035E+03	6.861800E-17	3.703324E-18
2.791350E+03	7.380903E-17	4.002075E-18
2.830664E+03	7.933427E-17	4.319939E-18
2.869979E+03	8.522575E-17	4.657473E-18
2.909294E+03	9.152622E-17	5.015731E-18
2.948609E+03	9.827164E-17	5.395346E-18
2.958437E+03	1.000350E-16	5.493837E-18
2.968266E+03	1.018278E-16	5.593652E-18
2.978095E+03	1.036505E-16	5.694789E-18
2.987923E+03	1.055101E-16	5.797612E-18
2.997752E+03	1.074119E-16	5.902400E-18
3.007581E+03	1.093643E-16	6.009587E-18
3.017410E+03	1.113681E-16	6.119204E-18
3.027238E+03	1.134196E-16	6.231024E-18
3.037067E+03	1.155183E-16	6.345005E-18
3.046896E+03	1.176683E-16	6.461352E-18
3.056724E+03	1.198688E-16	6.580004E-18
3.066553E+03	1.221203E-16	6.700981E-18
3.076382E+03	1.244188E-16	6.824040E-18
3.086210E+03	1.267702E-16	6.949494E-18
3.096039E+03	1.291655E-16	7.076834E-18
3.105868E+03	1.316057E-16	7.206110E-18
3.115697E+03	1.340919E-16	7.337372E-18
3.125525E+03	1.366228E-16	7.470542E-18
3.135354E+03	1.391920E-16	7.605262E-18
3.145183E+03	1.418057E-16	7.741883E-18
3.155011E+03	1.444577E-16	7.880053E-18
3.164840E+03	1.471492E-16	8.019848E-18
3.174669E+03	1.498762E-16	8.161063E-18
3.184497E+03	1.526403E-16	8.303785E-18
3.194326E+03	1.554400E-16	8.447957E-18
3.204155E+03	1.582742E-16	8.593531E-18
3.213983E+03	1.611388E-16	8.740307E-18
3.223812E+03	1.640351E-16	8.888387E-18
3.233641E+03	1.669616E-16	9.037723E-18
3.243470E+03	1.699144E-16	9.188127E-18
3.253298E+03	1.728946E-16	9.339707E-18
3.263127E+03	1.758978E-16	9.492271E-18
3.272956E+03	1.789251E-16	9.645930E-18
3.282784E+03	1.819722E-16	9.800499E-18
3.292613E+03	1.850371E-16	9.955937E-18
3.302442E+03	1.881180E-16	1.011220E-17
3.312270E+03	1.912126E-16	1.026926E-17
3.322099E+03	1.943190E-16	1.042707E-17
3.331928E+03	1.974318E-16	1.058543E-17
3.341757E+03	1.878594E-16	1.006447E-17
3.342811E+03	1.893033E-16	1.014102E-17
3.343866E+03	1.904858E-16	1.020357E-17
3.344920E+03	1.912012E-16	1.024110E-17
3.345975E+03	1.919110E-16	1.027832E-17
3.347030E+03	1.932577E-16	1.034966E-17
3.348084E+03	1.943294E-16	1.040627E-17
3.349139E+03	1.960651E-16	1.049843E-17
3.350193E+03	1.973265E-16	1.056518E-17
3.351248E+03	1.987052E-16	1.063822E-17
3.352304E+03	1.999631E-16	1.070479E-17
3.353358E+03	2.014933E-16	1.078593E-17
3.354413E+03	2.029801E-16	1.086474E-17
