#wls	flux	fluxerr
1.572591E+03	2.368227E-17	2.919463E-19
1.611906E+03	2.357756E-17	2.902154E-19
1.651221E+03	2.332589E-17	2.866710E-19
1.690536E+03	2.292883E-17	2.813412E-19
1.729850E+03	2.239110E-17	2.742926E-19
1.769165E+03	2.169825E-17	2.653577E-19
1.808480E+03	2.083752E-17	2.543910E-19
1.847795E+03	1.978904E-17	2.411623E-19
1.887110E+03	1.855167E-17	2.256712E-19
1.926424E+03	1.713819E-17	2.080874E-19
1.965739E+03	1.560455E-17	1.891031E-19
2.005054E+03	1.406615E-17	1.701247E-19
2.044369E+03	1.269251E-17	1.532012E-19
2.083683E+03	1.166540E-17	1.405122E-19
2.122998E+03	1.111405E-17	1.335868E-19
2.162313E+03	1.107447E-17	1.328212E-19
2.201628E+03	1.148539E-17	1.374420E-19
2.240943E+03	1.223511E-17	1.460783E-19
2.280257E+03	1.318955E-17	1.571040E-19
2.319572E+03	1.423546E-17	1.691542E-19
2.358887E+03	1.529794E-17	1.813309E-19
2.398202E+03	1.633602E-17	1.931461E-19
2.437517E+03	1.733882E-17	2.044718E-19
2.476831E+03	1.830764E-17	2.153241E-19
2.516146E+03	1.925446E-17	2.258447E-19
2.555461E+03	2.019176E-17	2.361797E-19
2.594776E+03	2.113447E-17	2.465021E-19
2.634090E+03	2.209526E-17	2.569565E-19
2.673405E+03	2.308683E-17	2.676861E-19
2.712720E+03	2.411942E-17	2.788040E-19
2.752035E+03	2.520034E-17	2.903876E-19
2.791350E+03	2.633872E-17	3.025342E-19
2.830664E+03	2.754005E-17	3.152977E-19
2.869979E+03	2.881662E-17	3.288084E-19
2.909294E+03	3.019575E-17	3.433656E-19
2.948609E+03	3.170686E-17	3.592876E-19
2.958437E+03	3.210945E-17	3.635266E-19
2.968266E+03	3.252286E-17	3.678782E-19
2.978095E+03	3.294733E-17	3.723451E-19
2.987923E+03	3.338536E-17	3.769549E-19
2.997752E+03	3.383879E-17	3.817280E-19
3.007581E+03	3.431114E-17	3.867035E-19
3.017410E+03	3.480210E-17	3.918771E-19
3.027238E+03	3.531230E-17	3.972554E-19
3.037067E+03	3.584181E-17	4.028386E-19
3.046896E+03	3.639151E-17	4.086358E-19
3.056724E+03	3.696291E-17	4.146630E-19
3.066553E+03	3.755591E-17	4.209188E-19
3.076382E+03	3.817116E-17	4.274094E-19
3.086210E+03	3.880873E-17	4.341348E-19
3.096039E+03	3.947020E-17	4.411119E-19
3.105868E+03	4.015417E-17	4.483243E-19
3.115697E+03	4.086244E-17	4.557911E-19
3.125525E+03	4.159535E-17	4.635154E-19
3.135354E+03	4.235405E-17	4.715089E-19
3.145183E+03	4.313820E-17	4.797670E-19
3.155011E+03	4.394994E-17	4.883125E-19
3.164840E+03	4.478990E-17	4.971514E-19
3.174669E+03	4.565799E-17	5.062816E-19
3.184497E+03	4.655655E-17	5.157281E-19
3.194326E+03	4.748726E-17	5.255082E-19
3.204155E+03	4.844950E-17	5.356140E-19
3.213983E+03	4.944586E-17	5.460726E-19
3.223812E+03	5.047743E-17	5.568953E-19
3.233641E+03	5.154544E-17	5.680938E-19
3.243470E+03	5.265107E-17	5.796800E-19
3.253298E+03	5.379647E-17	5.916760E-19
3.263127E+03	5.498289E-17	6.040940E-19
3.272956E+03	5.621169E-17	6.169476E-19
3.282784E+03	5.748419E-17	6.302494E-19
