#wls	flux	fluxerr
1.600000E+03	2.925567E-16	6.960757E-18
1.640000E+03	2.894402E-16	6.880394E-18
1.680000E+03	2.858544E-16	6.788851E-18
1.720000E+03	2.817740E-16	6.685556E-18
1.760000E+03	2.772051E-16	6.570695E-18
1.800000E+03	2.721820E-16	6.445118E-18
1.840000E+03	2.666563E-16	6.307718E-18
1.880000E+03	2.607092E-16	6.160456E-18
1.920000E+03	2.543728E-16	6.004132E-18
1.960000E+03	2.477083E-16	5.840227E-18
2.000000E+03	2.407969E-16	5.670691E-18
2.040000E+03	2.337828E-16	5.498945E-18
2.080000E+03	2.268281E-16	5.328821E-18
2.120000E+03	2.201191E-16	5.164695E-18
2.160000E+03	2.139188E-16	5.012718E-18
2.200000E+03	2.084416E-16	4.877875E-18
2.240000E+03	2.038896E-16	4.764831E-18
2.280000E+03	2.004302E-16	4.677408E-18
2.320000E+03	1.981759E-16	4.618128E-18
2.360000E+03	1.971927E-16	4.588407E-18
2.400000E+03	1.974914E-16	4.588364E-18
2.440000E+03	1.990372E-16	4.617052E-18
2.480000E+03	2.017921E-16	4.673443E-18
2.520000E+03	2.056759E-16	4.755542E-18
2.560000E+03	2.106207E-16	4.861635E-18
2.600000E+03	2.165399E-16	4.989582E-18
2.640000E+03	2.233687E-16	5.137757E-18
2.680000E+03	2.310490E-16	5.304688E-18
2.720000E+03	2.395480E-16	5.489490E-18
2.760000E+03	2.488592E-16	5.691877E-18
2.800000E+03	2.589922E-16	5.911924E-18
2.840000E+03	2.699766E-16	6.150161E-18
2.880000E+03	2.818747E-16	6.407842E-18
2.920000E+03	2.947473E-16	6.686174E-18
2.960000E+03	3.087042E-16	6.987450E-18
3.000000E+03	3.238410E-16	7.313618E-18
3.010000E+03	3.278325E-16	7.399538E-18
3.020000E+03	3.319024E-16	7.487101E-18
3.030000E+03	3.360520E-16	7.576330E-18
3.040000E+03	3.402975E-16	7.667585E-18
3.050000E+03	3.446324E-16	7.760719E-18
3.060000E+03	3.490580E-16	7.855752E-18
3.070000E+03	3.535830E-16	7.952877E-18
3.080000E+03	3.582008E-16	8.051944E-18
3.090000E+03	3.629127E-16	8.152971E-18
3.100000E+03	3.677350E-16	8.256323E-18
3.110000E+03	3.726535E-16	8.361674E-18
3.120000E+03	3.776768E-16	8.469212E-18
3.130000E+03	3.827984E-16	8.578786E-18
3.140000E+03	3.880417E-16	8.690917E-18
3.150000E+03	3.933849E-16	8.805108E-18
3.160000E+03	3.988364E-16	8.921540E-18
3.170000E+03	4.044044E-16	9.040394E-18
