#wls	flux	fluxerr
1.600000E+03	1.315285E-16	1.206589E-18
1.640000E+03	1.286140E-16	1.178471E-18
1.680000E+03	1.256619E-16	1.150045E-18
1.720000E+03	1.226741E-16	1.121331E-18
1.760000E+03	1.196804E-16	1.092603E-18
1.800000E+03	1.166849E-16	1.063902E-18
1.840000E+03	1.137281E-16	1.035598E-18
1.880000E+03	1.108041E-16	1.007636E-18
1.920000E+03	1.079613E-16	9.804576E-19
1.960000E+03	1.052040E-16	9.540999E-19
2.000000E+03	1.025474E-16	9.286990E-19
2.040000E+03	1.000145E-16	9.044611E-19
2.080000E+03	9.762571E-17	8.815671E-19
2.120000E+03	9.539132E-17	8.601053E-19
2.160000E+03	9.331360E-17	8.400914E-19
2.200000E+03	9.142751E-17	8.218345E-19
2.240000E+03	8.974810E-17	8.054628E-19
2.280000E+03	8.834409E-17	7.915844E-19
2.320000E+03	8.720262E-17	7.800733E-19
2.360000E+03	8.631170E-17	7.708113E-19
2.400000E+03	8.567466E-17	7.638174E-19
2.440000E+03	8.528791E-17	7.590486E-19
2.480000E+03	8.516921E-17	7.566510E-19
2.520000E+03	8.531505E-17	7.565808E-19
2.560000E+03	8.573385E-17	7.588998E-19
2.600000E+03	8.642087E-17	7.635522E-19
2.640000E+03	8.737997E-17	7.705581E-19
2.680000E+03	8.860844E-17	7.798791E-19
2.720000E+03	9.010933E-17	7.915273E-19
2.760000E+03	9.188144E-17	8.054767E-19
2.800000E+03	9.391797E-17	8.216520E-19
2.840000E+03	9.622375E-17	8.400796E-19
2.880000E+03	9.879384E-17	8.607001E-19
2.920000E+03	1.016508E-16	8.836933E-19
2.960000E+03	1.048705E-16	9.096977E-19
3.000000E+03	1.085339E-16	9.393930E-19
3.010000E+03	1.095309E-16	9.474920E-19
3.020000E+03	1.105626E-16	9.558795E-19
3.030000E+03	1.116295E-16	9.645603E-19
3.040000E+03	1.127376E-16	9.735835E-19
3.050000E+03	1.138847E-16	9.829311E-19
3.060000E+03	1.150743E-16	9.926321E-19
3.070000E+03	1.163069E-16	1.002690E-18
3.080000E+03	1.175859E-16	1.013134E-18
3.090000E+03	1.189123E-16	1.023971E-18
3.100000E+03	1.202894E-16	1.035230E-18
3.110000E+03	1.217183E-16	1.046919E-18
3.120000E+03	1.232000E-16	1.059045E-18
3.130000E+03	1.247382E-16	1.071640E-18
3.140000E+03	1.263342E-16	1.084713E-18
3.150000E+03	1.279945E-16	1.098320E-18
3.160000E+03	1.297152E-16	1.112426E-18
3.170000E+03	1.315032E-16	1.127089E-18
