#wls	flux	fluxerr
1.600000E+03	2.376309E-16	5.058488E-17
1.640000E+03	2.345756E-16	4.753506E-17
1.680000E+03	2.312181E-16	4.454916E-17
1.720000E+03	2.275528E-16	4.164603E-17
1.760000E+03	2.236011E-16	3.884909E-17
1.800000E+03	2.193709E-16	3.617800E-17
1.840000E+03	2.149173E-16	3.365799E-17
1.880000E+03	2.102835E-16	3.130861E-17
1.920000E+03	2.055089E-16	2.914453E-17
1.960000E+03	2.006497E-16	2.717769E-17
2.000000E+03	1.957793E-16	2.541608E-17
2.040000E+03	1.910000E-16	2.386449E-17
2.080000E+03	1.863647E-16	2.251467E-17
2.120000E+03	1.819803E-16	2.135959E-17
2.160000E+03	1.779365E-16	2.038588E-17
2.200000E+03	1.742831E-16	1.957366E-17
2.240000E+03	1.711159E-16	1.890828E-17
2.280000E+03	1.684924E-16	1.837220E-17
2.320000E+03	1.664901E-16	1.795263E-17
2.360000E+03	1.651711E-16	1.763823E-17
2.400000E+03	1.645821E-16	1.741958E-17
2.440000E+03	1.647649E-16	1.729032E-17
2.480000E+03	1.657110E-16	1.724238E-17
2.520000E+03	1.674212E-16	1.727184E-17
2.560000E+03	1.698823E-16	1.737577E-17
2.600000E+03	1.730608E-16	1.755056E-17
2.640000E+03	1.769341E-16	1.779398E-17
2.680000E+03	1.814749E-16	1.810227E-17
2.720000E+03	1.866727E-16	1.847129E-17
2.760000E+03	1.925162E-16	1.889416E-17
2.800000E+03	1.990072E-16	1.936254E-17
2.840000E+03	2.061546E-16	1.986634E-17
2.880000E+03	2.140028E-16	2.039711E-17
2.920000E+03	2.226019E-16	2.094596E-17
2.960000E+03	2.320132E-16	2.150496E-17
3.000000E+03	2.423368E-16	2.207053E-17
3.010000E+03	2.450742E-16	2.221285E-17
3.020000E+03	2.478749E-16	2.235531E-17
3.030000E+03	2.507402E-16	2.249785E-17
3.040000E+03	2.536766E-16	2.264093E-17
3.050000E+03	2.566853E-16	2.278454E-17
3.060000E+03	2.597674E-16	2.292867E-17
3.070000E+03	2.629241E-16	2.307332E-17
3.080000E+03	2.661566E-16	2.321852E-17
3.090000E+03	2.694661E-16	2.336431E-17
3.100000E+03	2.728594E-16	2.351124E-17
3.110000E+03	2.763378E-16	2.365936E-17
3.120000E+03	2.798970E-16	2.380830E-17
3.130000E+03	2.835495E-16	2.395912E-17
3.140000E+03	2.872854E-16	2.411098E-17
3.150000E+03	2.911116E-16	2.426453E-17
3.160000E+03	2.950350E-16	2.442037E-17
3.170000E+03	2.990514E-16	2.457822E-17
3.180000E+03	3.031676E-16	2.473875E-17
3.190000E+03	3.073793E-16	2.490170E-17
3.200000E+03	3.116935E-16	2.506777E-17
3.210000E+03	3.161113E-16	2.523721E-17
3.220000E+03	3.206284E-16	2.540982E-17
3.230000E+03	3.252516E-16	2.558633E-17
3.240000E+03	3.299820E-16	2.576705E-17
3.250000E+03	3.348208E-16	2.595226E-17
3.260000E+03	3.397690E-16	2.614228E-17
3.270000E+03	3.448277E-16	2.633745E-17
3.280000E+03	3.499977E-16	2.653807E-17
3.290000E+03	3.552742E-16	2.674406E-17
3.300000E+03	3.606694E-16	2.695662E-17
3.310000E+03	3.661727E-16	2.717522E-17
3.320000E+03	3.717903E-16	2.740062E-17
