#wls	flux	fluxerr
1.600000E+03	6.107116E-17	2.216634E-17
1.640000E+03	5.929916E-17	2.117385E-17
1.680000E+03	5.753550E-17	2.021048E-17
1.720000E+03	5.578405E-17	1.927716E-17
1.760000E+03	5.406220E-17	1.837918E-17
1.800000E+03	5.237245E-17	1.751642E-17
1.840000E+03	5.072347E-17	1.669063E-17
1.880000E+03	4.912291E-17	1.590299E-17
1.920000E+03	4.757207E-17	1.515244E-17
1.960000E+03	4.609255E-17	1.444423E-17
2.000000E+03	4.467309E-17	1.377301E-17
2.040000E+03	4.333630E-17	1.314393E-17
2.080000E+03	4.208296E-17	1.255519E-17
2.120000E+03	4.092132E-17	1.200717E-17
2.160000E+03	3.986121E-17	1.150061E-17
2.200000E+03	3.891332E-17	1.103630E-17
2.240000E+03	3.808524E-17	1.061400E-17
2.280000E+03	3.738203E-17	1.023267E-17
2.320000E+03	3.680978E-17	9.891443E-18
2.360000E+03	3.635799E-17	9.584997E-18
2.400000E+03	3.602571E-17	9.310668E-18
2.440000E+03	3.579869E-17	9.062455E-18
2.480000E+03	3.567499E-17	8.837699E-18
2.520000E+03	3.565069E-17	8.633297E-18
2.560000E+03	3.572278E-17	8.446456E-18
2.600000E+03	3.589139E-17	8.275177E-18
2.640000E+03	3.615329E-17	8.116727E-18
2.680000E+03	3.651454E-17	7.970523E-18
2.720000E+03	3.697224E-17	7.833993E-18
2.760000E+03	3.753270E-17	7.706633E-18
2.800000E+03	3.820158E-17	7.587780E-18
2.840000E+03	3.898445E-17	7.476805E-18
2.880000E+03	3.989695E-17	7.375054E-18
2.920000E+03	4.095918E-17	7.284571E-18
2.960000E+03	4.219885E-17	7.208585E-18
3.000000E+03	4.364982E-17	7.151101E-18
3.010000E+03	4.405167E-17	7.140409E-18
3.020000E+03	4.446827E-17	7.130980E-18
3.030000E+03	4.490134E-17	7.123068E-18
3.040000E+03	4.535402E-17	7.117138E-18
3.050000E+03	4.582514E-17	7.112969E-18
3.060000E+03	4.631499E-17	7.110577E-18
3.070000E+03	4.682673E-17	7.110417E-18
3.080000E+03	4.735787E-17	7.112074E-18
3.090000E+03	4.791301E-17	7.116210E-18
3.100000E+03	4.849110E-17	7.122635E-18
3.110000E+03	4.909256E-17	7.131378E-18
3.120000E+03	4.972062E-17	7.142876E-18
3.130000E+03	5.037434E-17	7.156960E-18
3.140000E+03	5.105700E-17	7.174062E-18
3.150000E+03	5.176773E-17	7.194024E-18
3.160000E+03	5.250710E-17	7.216894E-18
3.170000E+03	5.327983E-17	7.243292E-18
3.180000E+03	5.408380E-17	7.272889E-18
3.190000E+03	5.492243E-17	7.306114E-18
3.200000E+03	5.579643E-17	7.343024E-18
3.210000E+03	5.670656E-17	7.383685E-18
3.220000E+03	5.765497E-17	7.428345E-18
3.230000E+03	5.864251E-17	7.477075E-18
3.240000E+03	5.967281E-17	7.530303E-18
3.250000E+03	6.074407E-17	7.587762E-18
3.260000E+03	6.186001E-17	7.649883E-18
3.270000E+03	6.302169E-17	7.716756E-18
3.280000E+03	6.423155E-17	7.788643E-18
3.290000E+03	6.548939E-17	7.865477E-18
3.300000E+03	6.679778E-17	7.947527E-18
3.310000E+03	6.815797E-17	8.034902E-18
3.320000E+03	6.957266E-17	8.127877E-18
3.330000E+03	7.104324E-17	8.226567E-18
3.340000E+03	7.256976E-17	8.330932E-18
3.350000E+03	7.415508E-17	8.441256E-18
3.360000E+03	7.579939E-17	8.557511E-18
3.370000E+03	7.750568E-17	8.679985E-18
3.380000E+03	7.927421E-17	8.808657E-18
3.390000E+03	8.110673E-17	8.943666E-18
3.400000E+03	8.300359E-17	9.084998E-18
3.410000E+03	8.496662E-17	9.232799E-18
3.420000E+03	8.699629E-17	9.387059E-18
3.430000E+03	8.909454E-17	9.547929E-18
3.440000E+03	9.125902E-17	9.715097E-18
3.450000E+03	9.349319E-17	9.888869E-18
3.460000E+03	9.579620E-17	1.006909E-17
3.470000E+03	9.816720E-17	1.025560E-17
3.480000E+03	1.006083E-16	1.044856E-17
3.490000E+03	1.031172E-16	1.064766E-17
3.500000E+03	1.056930E-16	1.085272E-17
3.510000E+03	1.083378E-16	1.106391E-17
3.520000E+03	1.110477E-16	1.128074E-17
3.530000E+03	1.138248E-16	1.150334E-17
3.540000E+03	1.166650E-16	1.173124E-17
3.550000E+03	1.195703E-16	1.196454E-17
3.560000E+03	1.225365E-16	1.220273E-17
3.570000E+03	1.255639E-16	1.244578E-17
3.580000E+03	1.286511E-16	1.269345E-17
3.590000E+03	1.317983E-16	1.294567E-17
3.600000E+03	1.350040E-16	1.320220E-17
3.610000E+03	1.382647E-16	1.346261E-17
3.620000E+03	1.415820E-16	1.372695E-17
3.630000E+03	1.449504E-16	1.399461E-17
3.640000E+03	1.483694E-16	1.426542E-17
3.650000E+03	1.518347E-16	1.453889E-17
3.660000E+03	1.553470E-16	1.481498E-17
3.670000E+03	1.589015E-16	1.509314E-17
3.680000E+03	1.624967E-16	1.537312E-17
3.690000E+03	1.661325E-16	1.565483E-17
3.700000E+03	1.698050E-16	1.593780E-17
3.710000E+03	1.735153E-16	1.622203E-17
3.720000E+03	1.772590E-16	1.650702E-17
3.730000E+03	1.810366E-16	1.679272E-17
3.740000E+03	1.848466E-16	1.707890E-17
3.750000E+03	1.886853E-16	1.736511E-17
3.760000E+03	1.925523E-16	1.765125E-17
3.770000E+03	1.964451E-16	1.793697E-17
3.780000E+03	2.003627E-16	1.822212E-17
3.790000E+03	2.043017E-16	1.850630E-17
3.800000E+03	2.082605E-16	1.878928E-17
3.810000E+03	2.122329E-16	1.907042E-17
3.820000E+03	2.162206E-16	1.934981E-17
3.830000E+03	2.202144E-16	1.962658E-17
3.840000E+03	2.242154E-16	1.990074E-17
3.850000E+03	2.282159E-16	2.017156E-17
3.860000E+03	2.322141E-16	2.043883E-17
3.870000E+03	2.362016E-16	2.070177E-17
3.880000E+03	2.401761E-16	2.096014E-17
3.890000E+03	2.441308E-16	2.121333E-17
3.900000E+03	2.480587E-16	2.146068E-17
3.910000E+03	2.519571E-16	2.170197E-17
3.920000E+03	2.558187E-16	2.193656E-17
3.930000E+03	2.596365E-16	2.216383E-17
3.940000E+03	2.634055E-16	2.238338E-17
3.950000E+03	2.671211E-16	2.259481E-17
3.960000E+03	2.707767E-16	2.279758E-17
3.970000E+03	2.743658E-16	2.299117E-17
3.980000E+03	2.778824E-16	2.317510E-17
3.990000E+03	2.813258E-16	2.334935E-17
4.000000E+03	2.846912E-16	2.351356E-17
4.010000E+03	2.879744E-16	2.366740E-17
4.020000E+03	2.911718E-16	2.381063E-17
4.030000E+03	2.942807E-16	2.394305E-17
4.040000E+03	2.973043E-16	2.406497E-17
4.050000E+03	3.002363E-16	2.417592E-17
4.060000E+03	3.030846E-16	2.427654E-17
4.070000E+03	3.058419E-16	2.436632E-17
4.080000E+03	3.085180E-16	2.444602E-17
4.090000E+03	3.111128E-16	2.451567E-17
4.100000E+03	3.136299E-16	2.457555E-17
4.110000E+03	3.160736E-16	2.462600E-17
4.120000E+03	3.184492E-16	2.466742E-17
4.130000E+03	3.207653E-16	2.470044E-17
4.140000E+03	3.230286E-16	2.472555E-17
4.150000E+03	3.252437E-16	2.474302E-17
4.160000E+03	3.274183E-16	2.475339E-17
4.170000E+03	3.295635E-16	2.475740E-17
4.180000E+03	3.316879E-16	2.475558E-17
4.190000E+03	3.338006E-16	2.474849E-17
4.200000E+03	3.359077E-16	2.473642E-17
4.210000E+03	3.380186E-16	2.471989E-17
4.220000E+03	3.401452E-16	2.469958E-17
4.230000E+03	3.422967E-16	2.467592E-17
4.240000E+03	3.444762E-16	2.464891E-17
4.250000E+03	3.467011E-16	2.461951E-17
4.260000E+03	3.489710E-16	2.458739E-17
4.270000E+03	3.512966E-16	2.455297E-17
4.280000E+03	3.536883E-16	2.451663E-17
4.290000E+03	3.561467E-16	2.447803E-17
4.300000E+03	3.586810E-16	2.443739E-17
4.310000E+03	3.612933E-16	2.439442E-17
4.320000E+03	3.639881E-16	2.434894E-17
4.330000E+03	3.667687E-16	2.430071E-17
4.340000E+03	3.696316E-16	2.424896E-17
4.350000E+03	3.725749E-16	2.419305E-17
4.360000E+03	3.755986E-16	2.413242E-17
4.370000E+03	3.787082E-16	2.406685E-17
4.380000E+03	3.819015E-16	2.399559E-17
4.390000E+03	3.851784E-16	2.391801E-17
4.400000E+03	3.885408E-16	2.383358E-17
4.410000E+03	3.919798E-16	2.374106E-17
4.420000E+03	3.954948E-16	2.363975E-17
4.430000E+03	3.990776E-16	2.352844E-17
4.440000E+03	4.027185E-16	2.340585E-17
4.450000E+03	4.064137E-16	2.327105E-17
4.460000E+03	4.101475E-16	2.312244E-17
4.470000E+03	4.139139E-16	2.295895E-17
4.480000E+03	4.176949E-16	2.277892E-17
4.490000E+03	4.214791E-16	2.258105E-17
4.500000E+03	4.252574E-16	2.236423E-17
4.510000E+03	4.290098E-16	2.212676E-17
4.520000E+03	4.327261E-16	2.186760E-17
4.530000E+03	4.363853E-16	2.158516E-17
4.540000E+03	4.399732E-16	2.127830E-17
4.550000E+03	4.434761E-16	2.094600E-17
4.560000E+03	4.468804E-16	2.058735E-17
4.570000E+03	4.501695E-16	2.020139E-17
4.580000E+03	4.533313E-16	1.978753E-17
4.590000E+03	4.563508E-16	1.934516E-17
4.600000E+03	4.592184E-16	1.887411E-17
4.610000E+03	4.619300E-16	1.837457E-17
4.620000E+03	4.644753E-16	1.784669E-17
4.630000E+03	4.668459E-16	1.729092E-17
4.640000E+03	4.690435E-16	1.670836E-17
4.650000E+03	4.710639E-16	1.610019E-17
4.660000E+03	4.729139E-16	1.546828E-17
4.670000E+03	4.745897E-16	1.481463E-17
4.680000E+03	4.761029E-16	1.414221E-17
4.690000E+03	4.774589E-16	1.345447E-17
4.700000E+03	4.786658E-16	1.275574E-17
4.710000E+03	4.797253E-16	1.205128E-17
4.720000E+03	4.806586E-16	1.134824E-17
4.730000E+03	4.814720E-16	1.065516E-17
4.740000E+03	4.821779E-16	9.983005E-18
4.750000E+03	4.827867E-16	9.345559E-18
4.760000E+03	4.833275E-16	8.760314E-18
4.770000E+03	4.838049E-16	8.247843E-18
4.780000E+03	4.842466E-16	7.832147E-18
4.790000E+03	4.846719E-16	7.538140E-18
4.800000E+03	4.851050E-16	7.388220E-18
4.810000E+03	4.855647E-16	7.397220E-18
4.820000E+03	4.860676E-16	7.565290E-18
4.830000E+03	4.866231E-16	7.878107E-18
4.840000E+03	4.872353E-16	8.314039E-18
4.850000E+03	4.879168E-16	8.849268E-18
4.860000E+03	4.886802E-16	9.461273E-18
4.870000E+03	4.895245E-16	1.013044E-17
4.880000E+03	4.904625E-16	1.084105E-17
4.890000E+03	4.915073E-16	1.158089E-17
4.900000E+03	4.926632E-16	1.234042E-17
4.910000E+03	4.939393E-16	1.311254E-17
4.920000E+03	4.953539E-16	1.389228E-17
4.930000E+03	4.969119E-16	1.467571E-17
4.940000E+03	4.986184E-16	1.545999E-17
4.950000E+03	5.004968E-16	1.624372E-17
4.960000E+03	5.025476E-16	1.702545E-17
4.970000E+03	5.047851E-16	1.780470E-17
4.980000E+03	5.072190E-16	1.858124E-17
4.990000E+03	5.098588E-16	1.935519E-17
5.000000E+03	5.127186E-16	2.012706E-17
5.010000E+03	5.158027E-16	2.089724E-17
5.020000E+03	5.191249E-16	2.166663E-17
5.030000E+03	5.226888E-16	2.243582E-17
5.040000E+03	5.265072E-16	2.320594E-17
5.050000E+03	5.305878E-16	2.397793E-17
5.060000E+03	5.349325E-16	2.475254E-17
5.070000E+03	5.395523E-16	2.553099E-17
5.080000E+03	5.444581E-16	2.631449E-17
5.090000E+03	5.496441E-16	2.710351E-17
5.100000E+03	5.551189E-16	2.789918E-17
5.110000E+03	5.608852E-16	2.870233E-17
5.120000E+03	5.669389E-16	2.951344E-17
5.130000E+03	5.732909E-16	3.033374E-17
