spec_file	spec_mjd	ZTF_g_fitflux	ZTF_g_fitfluxerr	ZTF_g_inrange	ZTF_i_fitflux	ZTF_i_fitfluxerr	ZTF_i_inrange	ZTF_r_fitflux	ZTF_r_fitfluxerr	ZTF_r_inrange	lascumbres_u'_fitflux	lascumbres_u'_fitfluxerr	lascumbres_u'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200826_P60_v1.ascii	59087.0	1.5111209355155267e-16	2.866527693888929e-17	True	4.1235877224776385e-17	9.363279899373665e-18	True	1.033321691734339e-16	5.2104306077767136e-17	True	5.114506639371117e-16	2.0428866569128747e-16	True	8.680153975696901e-16	2.2011655081223874e-16	True	3.0181906730839536e-16	9.60396336970616e-17	True	1.7124533524493182e-16	1.7107413827299228e-17	True	2.630497852416983e-16	2.6092837968079295e-17	True	2.511897255643158e-16	2.063166859101995e-17	True	1.7079465428384898e-16	3.043738051400429e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200828_P200_v1.ascii	59089.0	4.841441884645144e-16	3.6344477419897995e-17	True	1.325933377172955e-16	1.5240052578943947e-17	True	2.4890050201590256e-16	3.363872193757123e-17	True	8.741710989757111e-16	7.838350952469322e-17	True	1.1649945075144338e-15	1.1539857451052435e-16	True	4.515518139112858e-16	4.6312697371669694e-17	True	1.7124532894340794e-16	1.7107409036543192e-17	True	2.630497899079778e-16	2.609279376513181e-17	True	2.511897556584252e-16	2.0631647278545286e-17	True	6.89433193323223e-16	1.538278721836212e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200828_P60_v2.ascii	59089.01	4.858978320161859e-16	3.6438914503921835e-17	True	1.3309034390256966e-16	1.528696873601952e-17	True	2.496866182898889e-16	3.3580704325430857e-17	True	8.762910288845545e-16	7.882281690827279e-17	True	1.1665981264890114e-15	1.1543426404491743e-16	True	4.523877183213027e-16	4.6285201262794563e-17	True	1.7124532890752864e-16	1.7107409056326486e-17	True	2.630497899205346e-16	2.609279365273559e-17	True	2.5118975579580573e-16	2.063164733156462e-17	True	6.929469537774235e-16	1.5464065473311733e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200828_P60_v1.ascii	59089.02	4.876514500487265e-16	3.653283445771833e-17	True	1.3358760291340303e-16	1.533337262106673e-17	True	2.504732792132192e-16	3.352303183557229e-17	True	8.784101888262574e-16	7.924799022474695e-17	True	1.1682009130525481e-15	1.1547159320980022e-16	True	4.532234805262518e-16	4.6257759900947625e-17	True	1.7124532887160577e-16	1.7107409076545555e-17	True	2.6304978993298414e-16	2.6092793541420396e-17	True	2.5118975593305683e-16	2.063164738617157e-17	True	6.964612248784627e-16	1.5543661622493844e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200830_LT_v1.ascii	59091.0	8.224892198631176e-16	4.4434747552743576e-17	True	2.3413127000648783e-16	1.4043491716966557e-17	True	4.142506046381508e-16	2.636205495670195e-17	True	1.179878041708158e-15	1.0205751129247949e-16	True	1.4206197992818286e-15	1.457028889563631e-16	True	5.923092548656827e-16	5.678081261919607e-17	True	1.7124532090276522e-16	1.7107421653163763e-17	True	2.6304979028540366e-16	2.609279279595025e-17	True	2.511897805406661e-16	2.0631689478536712e-17	True	1.1748625709045803e-15	1.5649642684895623e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200831_P60_v1.ascii	59092.0	9.70253710083486e-16	4.507638540597426e-17	True	2.832142578949362e-16	6.858364202190585e-18	True	4.999768204625361e-16	2.3723722258443603e-17	True	1.1958868585089426e-15	2.6222450228307e-16	False	1.4768497294846348e-15	2.1539428198215953e-16	True	6.275673808828853e-16	9.3578888860736e-17	True	1.712453162308687e-16	1.71074344885136e-17	True	2.6304978886568575e-16	2.6092808524832685e-17	True	2.511897910246452e-16	2.0631734392248173e-17	True	1.159495484740813e-15	2.8257197717557096e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200831_P60_v2.ascii	59092.01	9.716320329697854e-16	4.5095435455410835e-17	True	2.836881766288725e-16	6.791357699877603e-18	True	5.008339586829243e-16	2.3697066684786278e-17	True	1.1956939543975e-15	2.637684755520682e-16	False	1.4771942566228205e-15	2.162945500143742e-16	True	6.277948416335751e-16	9.403244722684161e-17	True	1.7124531618195648e-16	1.71074346388395e-17	True	2.630497888460744e-16	2.6092808736702152e-17	True	2.5118979112289088e-16	2.0631734921547457e-17	True	1.1587060966580552e-15	2.843858879561925e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200901_P60_v2.ascii	59093.0	1.096935824880826e-15	5.049148398905042e-17	True	3.2832200353694865e-16	1.0310156003792829e-17	True	5.849965264574087e-16	2.1197387797105118e-17	True	1.1517503111908135e-15	4.068980587959557e-16	False	1.4934110506828914e-15	3.142784802911446e-16	False	6.401622137957506e-16	1.4199585520136806e-16	False	1.7124531112466485e-16	1.7107451674657583e-17	False	2.630497863738837e-16	2.6092835061317037e-17	False	2.5118980020284437e-16	2.063179517891229e-17	False	1.0446850290897542e-15	4.604064071000988e-16	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200901_P60_v1.ascii	59093.01	1.0980769837195737e-15	5.058696849628951e-17	True	3.287491501258289e-16	1.0421320518187945e-17	True	5.85835658557226e-16	2.1174799772694916e-17	True	1.1510967242914488e-15	4.0823573630768046e-16	False	1.4934100609228088e-15	3.1532084232231387e-16	False	6.401943793477131e-16	1.4249527747513812e-16	False	1.7124531107140963e-16	1.7107451868488818e-17	False	2.6304978634355214e-16	2.609283538125529e-17	False	2.511898002880323e-16	2.0631795866928647e-17	False	1.0432722381211829e-15	4.620471554193133e-16	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/ZTF20abwxywy/ZTF20abwxywy_20200907_P60_v1.ascii	59099.0	1.3283996774173937e-15	1.323383967991435e-16	True	5.113699938872376e-16	6.14675495106518e-17	True	9.372564360999626e-16	1.4840715743938258e-17	True	5.748930479954797e-16	8.504079414365827e-16	False	1.1806886148551509e-15	8.437465322383067e-16	False	4.927679668360398e-16	3.795321185251168e-16	False	1.7124527136943459e-16	1.7107646132663428e-17	False	2.6304974891697237e-16	2.6093221159813423e-17	False	2.511898278610432e-16	2.0632493092341007e-17	False	2.7999890065850806e-16	8.69879271891017e-16	False
