#wls	flux	fluxerr	mangling_mask
3.776700E+03	1.946616E-16	NAN	1.742250E+00
3.802300E+03	1.410578E-16	NAN	1.742250E+00
3.827900E+03	1.024042E-16	NAN	1.742250E+00
3.853400E+03	1.153910E-16	NAN	1.742250E+00
3.904600E+03	1.602104E-16	NAN	1.742251E+00
3.930100E+03	2.201856E-16	NAN	1.742251E+00
3.955700E+03	2.544732E-16	NAN	1.742251E+00
3.981300E+03	2.936738E-16	NAN	1.742251E+00
4.006800E+03	3.143718E-16	NAN	1.742251E+00
4.032400E+03	3.046501E-16	NAN	1.742251E+00
4.058000E+03	2.864436E-16	NAN	1.742252E+00
4.083600E+03	2.502745E-16	NAN	1.742252E+00
4.109100E+03	2.130426E-16	NAN	1.742252E+00
4.134700E+03	1.803754E-16	NAN	1.742252E+00
4.160300E+03	1.596931E-16	NAN	1.742252E+00
4.185800E+03	1.584788E-16	NAN	1.742252E+00
4.211400E+03	1.380334E-16	NAN	1.742253E+00
4.237000E+03	1.223462E-16	NAN	1.742253E+00
4.262600E+03	1.308937E-16	NAN	1.742253E+00
4.288100E+03	1.152866E-16	NAN	1.742253E+00
4.313700E+03	1.291410E-16	NAN	1.742253E+00
4.339300E+03	1.276950E-16	NAN	1.742253E+00
4.364800E+03	1.186370E-16	NAN	1.742253E+00
4.390400E+03	1.465636E-16	NAN	1.742254E+00
4.416000E+03	1.328468E-16	NAN	1.742254E+00
4.441600E+03	1.288571E-16	NAN	1.742254E+00
4.467100E+03	1.208828E-16	NAN	1.742254E+00
4.492700E+03	1.314548E-16	NAN	1.742254E+00
4.518300E+03	1.568464E-16	NAN	1.742254E+00
4.543800E+03	2.137746E-16	NAN	1.742254E+00
4.569400E+03	2.381488E-16	NAN	1.742255E+00
4.595000E+03	2.555191E-16	NAN	1.742255E+00
4.620500E+03	2.355180E-16	NAN	1.742255E+00
4.646100E+03	2.471911E-16	NAN	1.742255E+00
4.671700E+03	2.535852E-16	NAN	1.742255E+00
4.697300E+03	2.621746E-16	NAN	1.742255E+00
4.722800E+03	2.360233E-16	NAN	1.742255E+00
4.748400E+03	2.115969E-16	NAN	1.742255E+00
4.774000E+03	2.040878E-16	NAN	1.742256E+00
4.799500E+03	2.076595E-16	NAN	1.742256E+00
4.825100E+03	2.045234E-16	NAN	1.742256E+00
4.850700E+03	2.013002E-16	NAN	1.742256E+00
4.876300E+03	2.040530E-16	NAN	1.742256E+00
4.901800E+03	2.055165E-16	NAN	1.742256E+00
4.927400E+03	1.929026E-16	NAN	1.742256E+00
4.953000E+03	1.752013E-16	NAN	1.742256E+00
4.978500E+03	1.751490E-16	NAN	1.742256E+00
5.004100E+03	1.819090E-16	NAN	1.742257E+00
5.029700E+03	1.872229E-16	NAN	1.742257E+00
5.055300E+03	1.799925E-16	NAN	1.742257E+00
5.080800E+03	1.701854E-16	NAN	1.742257E+00
5.106400E+03	1.555156E-16	NAN	1.742257E+00
5.132000E+03	1.567509E-16	NAN	1.742257E+00
5.157500E+03	1.761945E-16	NAN	1.742257E+00
5.183100E+03	2.042971E-16	NAN	1.742257E+00
5.208700E+03	2.107783E-16	NAN	1.742257E+00
5.234200E+03	2.081126E-16	NAN	1.742257E+00
5.259800E+03	2.037222E-16	NAN	1.742257E+00
5.285400E+03	2.211099E-16	NAN	1.742258E+00
5.311000E+03	2.411110E-16	NAN	1.742258E+00
5.336500E+03	2.679767E-16	NAN	1.742258E+00
5.362100E+03	2.620530E-16	NAN	1.742258E+00
5.387700E+03	2.561293E-16	NAN	1.742258E+00
5.413200E+03	3.003304E-16	NAN	1.742258E+00
5.438800E+03	3.452807E-16	NAN	1.742258E+00
5.464400E+03	3.717804E-16	NAN	1.742258E+00
5.490000E+03	3.446883E-16	NAN	1.742258E+00
5.515500E+03	3.068465E-16	NAN	1.742258E+00
5.541100E+03	3.140595E-16	NAN	1.742258E+00
5.566700E+03	3.499326E-16	NAN	1.742258E+00
5.592200E+03	3.324752E-16	NAN	1.742258E+00
5.617800E+03	2.943894E-16	NAN	1.742258E+00
5.643400E+03	2.420868E-16	NAN	1.742259E+00
5.668900E+03	2.229743E-16	NAN	1.742259E+00
5.694500E+03	2.207267E-16	NAN	1.742259E+00
5.720100E+03	2.108133E-16	NAN	1.742259E+00
5.745700E+03	1.789997E-16	NAN	1.742259E+00
5.771200E+03	1.624552E-16	NAN	1.742259E+00
5.796800E+03	1.719348E-16	NAN	1.742259E+00
5.822400E+03	1.689834E-16	NAN	1.742259E+00
5.847900E+03	1.783725E-16	NAN	1.742259E+00
5.873500E+03	2.003075E-16	NAN	1.742259E+00
5.899100E+03	2.211449E-16	NAN	1.742259E+00
5.924700E+03	2.357276E-16	NAN	1.742259E+00
5.950200E+03	2.293336E-16	NAN	1.742259E+00
5.975800E+03	2.198731E-16	NAN	1.742259E+00
6.001400E+03	2.420521E-16	NAN	1.742259E+00
6.026900E+03	2.579589E-16	NAN	1.742259E+00
6.052500E+03	2.487075E-16	NAN	1.742259E+00
6.078100E+03	2.339331E-16	NAN	1.742259E+00
6.103700E+03	2.207443E-16	NAN	1.742259E+00
6.129200E+03	1.992448E-16	NAN	1.742259E+00
6.154800E+03	1.927461E-16	NAN	1.742259E+00
6.180400E+03	2.065623E-16	NAN	1.742259E+00
6.205900E+03	2.104127E-16	NAN	1.742259E+00
6.231500E+03	2.099074E-16	NAN	1.742259E+00
6.257100E+03	2.162318E-16	NAN	1.742259E+00
6.282600E+03	2.385502E-16	NAN	1.742259E+00
6.308200E+03	2.765488E-16	NAN	1.742259E+00
6.333800E+03	3.044773E-16	NAN	1.742259E+00
6.359400E+03	3.021775E-16	NAN	1.742259E+00
6.384900E+03	2.928390E-16	NAN	1.742259E+00
6.410500E+03	2.882917E-16	NAN	1.742259E+00
6.436100E+03	2.787267E-16	NAN	1.742259E+00
