#wls	flux	fluxerr
1.592848E+03	1.287091E-03	5.075059E-05
1.632669E+03	1.311221E-03	5.144258E-05
1.672491E+03	1.337340E-03	5.219637E-05
1.712312E+03	1.365475E-03	5.301136E-05
1.752133E+03	1.395774E-03	5.389150E-05
1.791954E+03	1.428497E-03	5.484479E-05
1.831775E+03	1.463417E-03	5.586045E-05
1.871597E+03	1.500904E-03	5.695037E-05
1.911418E+03	1.540965E-03	5.811238E-05
1.951239E+03	1.583611E-03	5.934434E-05
1.991060E+03	1.628746E-03	6.064000E-05
2.030881E+03	1.676394E-03	6.199763E-05
2.070703E+03	1.726370E-03	6.340766E-05
2.110524E+03	1.778298E-03	6.485358E-05
2.150345E+03	1.832151E-03	6.633195E-05
2.190166E+03	1.887505E-03	6.782490E-05
2.229987E+03	1.944081E-03	6.932018E-05
2.269809E+03	2.001845E-03	7.081443E-05
2.309630E+03	2.060993E-03	7.231239E-05
2.349451E+03	2.122045E-03	7.382978E-05
2.389272E+03	2.185635E-03	7.538548E-05
2.429093E+03	2.252409E-03	7.699798E-05
2.468915E+03	2.323324E-03	7.869547E-05
2.508736E+03	2.399072E-03	8.049578E-05
2.548557E+03	2.480574E-03	8.242331E-05
2.588378E+03	2.568512E-03	8.449329E-05
2.628199E+03	2.663733E-03	8.672501E-05
2.668021E+03	2.766971E-03	8.913281E-05
2.707842E+03	2.879053E-03	9.173269E-05
2.747663E+03	3.000911E-03	9.454239E-05
2.787484E+03	3.133494E-03	9.757859E-05
2.827305E+03	3.277870E-03	1.008597E-04
2.867127E+03	3.435399E-03	1.044111E-04
2.906948E+03	3.607356E-03	1.082532E-04
2.946769E+03	3.795535E-03	1.124189E-04
2.986590E+03	4.001450E-03	1.169301E-04
2.996546E+03	4.056006E-03	1.181179E-04
3.006501E+03	4.111738E-03	1.193271E-04
3.016456E+03	4.168655E-03	1.205578E-04
3.026411E+03	4.226962E-03	1.218153E-04
3.036367E+03	4.286567E-03	1.230964E-04
3.046322E+03	4.347484E-03	1.244013E-04
3.056277E+03	4.409802E-03	1.257319E-04
3.066233E+03	4.473433E-03	1.270851E-04
3.076188E+03	4.538373E-03	1.284605E-04
3.086143E+03	4.604807E-03	1.298628E-04
3.096099E+03	4.672525E-03	1.312854E-04
3.106054E+03	4.741615E-03	1.327304E-04
3.116009E+03	4.811947E-03	1.341938E-04
3.125964E+03	4.883786E-03	1.356822E-04
3.135920E+03	4.956804E-03	1.371862E-04
3.145875E+03	5.031051E-03	1.387067E-04
3.155830E+03	5.106559E-03	1.402440E-04
3.165786E+03	5.183273E-03	1.417961E-04
3.175741E+03	5.260908E-03	1.433549E-04
3.185696E+03	5.339671E-03	1.449256E-04
3.195652E+03	5.419254E-03	1.464993E-04
3.205607E+03	5.499635E-03	1.480752E-04
3.215562E+03	5.580573E-03	1.496465E-04
3.225517E+03	5.662013E-03	1.512113E-04
3.235473E+03	5.743769E-03	1.527646E-04
3.245428E+03	5.825644E-03	1.543008E-04
3.255383E+03	5.907316E-03	1.558115E-04
3.265339E+03	5.988632E-03	1.572925E-04
3.275294E+03	6.069325E-03	1.587370E-04
3.285249E+03	6.148990E-03	1.601344E-04
3.295205E+03	6.227406E-03	1.614794E-04
3.305160E+03	6.304118E-03	1.627605E-04
3.315115E+03	6.378841E-03	1.639710E-04
3.325070E+03	6.451078E-03	1.650986E-04
3.335026E+03	6.520394E-03	1.661332E-04
3.344981E+03	6.586336E-03	1.670641E-04
3.354936E+03	6.648437E-03	1.678807E-04
3.364892E+03	6.706205E-03	1.685719E-04
3.374847E+03	6.759051E-03	1.691243E-04
3.384802E+03	6.806574E-03	1.695296E-04
3.394758E+03	6.848086E-03	1.697726E-04
3.404713E+03	6.883301E-03	1.698484E-04
3.414668E+03	6.911573E-03	1.697431E-04
3.424623E+03	6.932481E-03	1.694490E-04
3.434579E+03	6.945641E-03	1.689592E-04
3.444534E+03	6.950634E-03	1.682664E-04
3.454489E+03	6.947295E-03	1.673695E-04
3.464445E+03	6.935343E-03	1.662646E-04
3.474400E+03	6.914590E-03	1.649505E-04
3.484355E+03	6.885039E-03	1.634302E-04
3.494311E+03	6.846718E-03	1.617078E-04
3.504266E+03	6.799963E-03	1.597942E-04
3.514221E+03	6.744898E-03	1.576954E-04
3.524176E+03	6.682145E-03	1.554290E-04
3.534132E+03	6.612301E-03	1.530116E-04
3.544087E+03	6.536205E-03	1.504652E-04
3.554042E+03	6.454690E-03	1.478111E-04
3.563998E+03	6.368826E-03	1.450759E-04
3.573953E+03	6.279970E-03	1.422919E-04
3.583908E+03	6.189258E-03	1.394860E-04
3.593864E+03	6.098129E-03	1.366912E-04
3.603819E+03	6.007904E-03	1.339371E-04
3.613774E+03	5.919897E-03	1.312527E-04
3.623729E+03	5.835558E-03	1.286692E-04
3.633685E+03	5.756405E-03	1.262186E-04
3.643640E+03	5.683821E-03	1.239293E-04
3.653595E+03	5.619362E-03	1.218326E-04
3.663551E+03	5.564263E-03	1.199522E-04
3.673506E+03	5.519901E-03	1.183142E-04
3.683461E+03	5.487505E-03	1.169409E-04
3.693417E+03	5.468297E-03	1.158539E-04
3.703372E+03	5.463292E-03	1.150695E-04
3.713327E+03	5.473543E-03	1.146046E-04
3.723282E+03	5.499965E-03	1.144726E-04
3.733238E+03	5.543451E-03	1.146858E-04
3.743193E+03	5.604726E-03	1.152528E-04
3.753148E+03	5.684469E-03	1.161809E-04
3.763104E+03	5.783146E-03	1.174725E-04
3.773059E+03	5.901036E-03	1.191260E-04
3.778738E+03	4.687947E-03	9.430076E-05
3.780429E+03	4.788258E-03	9.621630E-05
3.782118E+03	4.869931E-03	9.775347E-05
3.783809E+03	4.924086E-03	9.873527E-05
3.785498E+03	4.954716E-03	9.924360E-05
3.787189E+03	4.969364E-03	9.943074E-05
3.788879E+03	4.984906E-03	9.963510E-05
3.790568E+03	4.992897E-03	9.968809E-05
3.792259E+03	5.010212E-03	9.992659E-05
3.793948E+03	5.047942E-03	1.005711E-04
3.795639E+03	5.083897E-03	1.011786E-04
3.797329E+03	5.105205E-03	1.014934E-04
3.799018E+03	5.128286E-03	1.018425E-04
3.800709E+03	5.173120E-03	1.026220E-04
3.802398E+03	5.217952E-03	1.033997E-04
3.804089E+03	5.252132E-03	1.039644E-04
3.805778E+03	5.280098E-03	1.044049E-04
3.807468E+03	5.299630E-03	1.046775E-04
3.809159E+03	5.285871E-03	1.042924E-04
3.810848E+03	5.239268E-03	1.032605E-04
3.812539E+03	5.201988E-03	1.024142E-04
3.814228E+03	5.189117E-03	1.020495E-04
3.815919E+03	5.196220E-03	1.020777E-04
3.817608E+03	5.204210E-03	1.021230E-04
3.819298E+03	5.225073E-03	1.024202E-04
3.820989E+03	5.265019E-03	1.030901E-04
3.822678E+03	5.293429E-03	1.035327E-04
3.824369E+03	5.288103E-03	1.033150E-04
