#wls	flux	fluxerr
1.592848E+03	7.553356E-05	4.965216E-05
1.632669E+03	7.796875E-05	5.085916E-05
1.672491E+03	8.048089E-05	5.208511E-05
1.712312E+03	8.308477E-05	5.333768E-05
1.752133E+03	8.576726E-05	5.460641E-05
1.791954E+03	8.854353E-05	5.589894E-05
1.831775E+03	9.141470E-05	5.721372E-05
1.871597E+03	9.438165E-05	5.854900E-05
1.911418E+03	9.744497E-05	5.990276E-05
1.951239E+03	1.006050E-04	6.127280E-05
1.991060E+03	1.038618E-04	6.265660E-05
2.030881E+03	1.072325E-04	6.406193E-05
2.070703E+03	1.106999E-04	6.547558E-05
2.110524E+03	1.142811E-04	6.690504E-05
2.150345E+03	1.179761E-04	6.834720E-05
2.190166E+03	1.217649E-04	6.978750E-05
2.229987E+03	1.256845E-04	7.124422E-05
2.269809E+03	1.297146E-04	7.270232E-05
2.309630E+03	1.338737E-04	7.416885E-05
2.349451E+03	1.381392E-04	7.562789E-05
2.389272E+03	1.425295E-04	7.708609E-05
2.429093E+03	1.470421E-04	7.853840E-05
2.468915E+03	1.516739E-04	7.997948E-05
2.508736E+03	1.564441E-04	8.141565E-05
2.548557E+03	1.613264E-04	8.282922E-05
2.588378E+03	1.663397E-04	8.422607E-05
2.628199E+03	1.715041E-04	8.561207E-05
2.668021E+03	1.767915E-04	8.696882E-05
2.707842E+03	1.821972E-04	8.828984E-05
2.747663E+03	1.877662E-04	8.959263E-05
2.787484E+03	1.934441E-04	9.084651E-05
2.827305E+03	1.993032E-04	9.208094E-05
2.867127E+03	2.052888E-04	9.326535E-05
2.906948E+03	2.114235E-04	9.440539E-05
2.946769E+03	2.177317E-04	9.550672E-05
2.986590E+03	2.242126E-04	9.656332E-05
2.996546E+03	2.258530E-04	9.681690E-05
3.006501E+03	2.275179E-04	9.707308E-05
3.016456E+03	2.291800E-04	9.732014E-05
3.026411E+03	2.308666E-04	9.756961E-05
3.036367E+03	2.325504E-04	9.780982E-05
3.046322E+03	2.342589E-04	9.805227E-05
3.056277E+03	2.359647E-04	9.828535E-05
