#wls	flux	fluxerr
1.592848E+03	5.442062E-04	1.170946E-05
1.632669E+03	5.660688E-04	1.211751E-05
1.672491E+03	5.871823E-04	1.250341E-05
1.712312E+03	6.073039E-04	1.286211E-05
1.752133E+03	6.261180E-04	1.318712E-05
1.791954E+03	6.429056E-04	1.346370E-05
1.831775E+03	6.564643E-04	1.366739E-05
1.871597E+03	6.656423E-04	1.377541E-05
1.911418E+03	6.690734E-04	1.376122E-05
1.951239E+03	6.657846E-04	1.360707E-05
1.991060E+03	6.560065E-04	1.332027E-05
2.030881E+03	6.424448E-04	1.295803E-05
2.070703E+03	6.309495E-04	1.263915E-05
2.110524E+03	6.297591E-04	1.252674E-05
2.150345E+03	6.468861E-04	1.277467E-05
2.190166E+03	6.865918E-04	1.345841E-05
2.229987E+03	7.482389E-04	1.455532E-05
2.269809E+03	8.275323E-04	1.597216E-05
2.309630E+03	9.189355E-04	1.759418E-05
2.349451E+03	1.017702E-03	1.932480E-05
2.389272E+03	1.120665E-03	2.110005E-05
2.429093E+03	1.226186E-03	2.288642E-05
2.468915E+03	1.333954E-03	2.467589E-05
2.508736E+03	1.444267E-03	2.647187E-05
2.548557E+03	1.558004E-03	2.828797E-05
2.588378E+03	1.676150E-03	3.013910E-05
2.628199E+03	1.799925E-03	3.204359E-05
2.668021E+03	1.930560E-03	3.401895E-05
2.707842E+03	2.069411E-03	3.608390E-05
2.747663E+03	2.217979E-03	3.825850E-05
2.787484E+03	2.377875E-03	4.056342E-05
2.827305E+03	2.550935E-03	4.302170E-05
2.867127E+03	2.739421E-03	4.566182E-05
2.906948E+03	2.945812E-03	4.851381E-05
2.946769E+03	3.173402E-03	5.161873E-05
2.986590E+03	3.425825E-03	5.502004E-05
2.996546E+03	3.493415E-03	5.592431E-05
3.006501E+03	3.562863E-03	5.685056E-05
3.016456E+03	3.634238E-03	5.779956E-05
3.026411E+03	3.707850E-03	5.877587E-05
3.036367E+03	3.783951E-03	5.978310E-05
3.046322E+03	3.862901E-03	6.082647E-05
3.056277E+03	3.944814E-03	6.190729E-05
3.066233E+03	4.029643E-03	6.302430E-05
3.076188E+03	4.117435E-03	6.417773E-05
3.086143E+03	4.208410E-03	6.537047E-05
3.096099E+03	4.302458E-03	6.660030E-05
3.106054E+03	4.399730E-03	6.786894E-05
3.116009E+03	4.500211E-03	6.917562E-05
3.125964E+03	4.604243E-03	7.052503E-05
3.135920E+03	4.711642E-03	7.191370E-05
3.145875E+03	4.822587E-03	7.334378E-05
3.155830E+03	4.937263E-03	7.481740E-05
3.165786E+03	5.055767E-03	7.633540E-05
3.175741E+03	5.178010E-03	7.789570E-05
3.185696E+03	5.304382E-03	7.950352E-05
3.195652E+03	5.434791E-03	8.115670E-05
3.205607E+03	5.569437E-03	8.285752E-05
3.215562E+03	5.708318E-03	8.460516E-05
3.225517E+03	5.851633E-03	8.640177E-05
3.235473E+03	5.999463E-03	8.824775E-05
3.245428E+03	6.151889E-03	9.014346E-05
3.255383E+03	6.308865E-03	9.208738E-05
3.265339E+03	6.470538E-03	9.408082E-05
3.275294E+03	6.636929E-03	9.612319E-05
3.285249E+03	6.807916E-03	9.821186E-05
3.295205E+03	6.983559E-03	1.003468E-04
3.305160E+03	7.163650E-03	1.025243E-04
3.315115E+03	7.348149E-03	1.047428E-04
3.323180E+03	8.536099E-03	1.212781E-04
3.328639E+03	8.156771E-03	1.156307E-04
3.334099E+03	7.834317E-03	1.108114E-04
3.339558E+03	7.579340E-03	1.069645E-04
3.345018E+03	7.432451E-03	1.046554E-04
3.350477E+03	7.329066E-03	1.029665E-04
