#wls	flux	fluxerr
1.592848E+03	1.965133E-05	9.824552E-06
1.632669E+03	2.049961E-05	1.017454E-05
1.672491E+03	2.130332E-05	1.049516E-05
1.712312E+03	2.204422E-05	1.077785E-05
1.752133E+03	2.271077E-05	1.101756E-05
1.791954E+03	2.327199E-05	1.120008E-05
1.831775E+03	2.369237E-05	1.130958E-05
1.871597E+03	2.391801E-05	1.132209E-05
1.911418E+03	2.391132E-05	1.122224E-05
1.951239E+03	2.363897E-05	1.099734E-05
1.991060E+03	2.312186E-05	1.066032E-05
2.030881E+03	2.245462E-05	1.025758E-05
2.070703E+03	2.185642E-05	9.890306E-06
2.110524E+03	2.161480E-05	9.686575E-06
2.150345E+03	2.198999E-05	9.757226E-06
2.190166E+03	2.311310E-05	1.015155E-05
2.229987E+03	2.495246E-05	1.084544E-05
2.269809E+03	2.733934E-05	1.175615E-05
2.309630E+03	3.007408E-05	1.279064E-05
2.349451E+03	3.299452E-05	1.387525E-05
2.389272E+03	3.597219E-05	1.495328E-05
2.429093E+03	3.895002E-05	1.599983E-05
2.468915E+03	4.188482E-05	1.699673E-05
2.508736E+03	4.478042E-05	1.794554E-05
2.548557E+03	4.762688E-05	1.884228E-05
2.588378E+03	5.044778E-05	1.969630E-05
2.628199E+03	5.324767E-05	2.050915E-05
2.668021E+03	5.604670E-05	2.128818E-05
2.707842E+03	5.884828E-05	2.203408E-05
2.747663E+03	6.167168E-05	2.275332E-05
2.787484E+03	6.451773E-05	2.344522E-05
2.827305E+03	6.739485E-05	2.411180E-05
2.867127E+03	7.033084E-05	2.476169E-05
2.906948E+03	7.331415E-05	2.538927E-05
2.946769E+03	7.635173E-05	2.599544E-05
2.986590E+03	7.947242E-05	2.658826E-05
2.996546E+03	8.026244E-05	2.673308E-05
3.006501E+03	8.106665E-05	2.687990E-05
3.016456E+03	8.186290E-05	2.702132E-05
3.026411E+03	8.267520E-05	2.716526E-05
3.036367E+03	8.349801E-05	2.730983E-05
3.046322E+03	8.433726E-05	2.745690E-05
3.056277E+03	8.519136E-05	2.760586E-05
3.066233E+03	8.605889E-05	2.775619E-05
3.076188E+03	8.695026E-05	2.791115E-05
3.086143E+03	8.785269E-05	2.806653E-05
3.096099E+03	8.876508E-05	2.822193E-05
3.106054E+03	8.968644E-05	2.837697E-05
3.116009E+03	9.061586E-05	2.853132E-05
3.125964E+03	9.156466E-05	2.868848E-05
3.135920E+03	9.250785E-05	2.884054E-05
3.145875E+03	9.346920E-05	2.899490E-05
3.155830E+03	9.443593E-05	2.914753E-05
3.165786E+03	9.542007E-05	2.930206E-05
3.175741E+03	9.639615E-05	2.945063E-05
3.185696E+03	9.738896E-05	2.960081E-05
3.195652E+03	9.838559E-05	2.974859E-05
3.205607E+03	9.938577E-05	2.989386E-05
3.215562E+03	1.003893E-04	3.003654E-05
3.225517E+03	1.013959E-04	3.017653E-05
3.235473E+03	1.024187E-04	3.031765E-05
3.245428E+03	1.034446E-04	3.045598E-05
3.255383E+03	1.044735E-04	3.059146E-05
3.265339E+03	1.055054E-04	3.072407E-05
3.275294E+03	1.065403E-04	3.085379E-05
3.285249E+03	1.075919E-04	3.098453E-05
3.295205E+03	1.086468E-04	3.111236E-05
3.305160E+03	1.097052E-04	3.123730E-05
3.315115E+03	1.107673E-04	3.135936E-05
3.325070E+03	1.118330E-04	3.147855E-05
3.335026E+03	1.129169E-04	3.159884E-05
3.344981E+03	1.139909E-04	3.171240E-05
3.354936E+03	1.150836E-04	3.182710E-05
3.364892E+03	1.161812E-04	3.193908E-05
3.374847E+03	1.172983E-04	3.205229E-05
3.384802E+03	1.184066E-04	3.215893E-05
3.394758E+03	1.195352E-04	3.226689E-05
3.404713E+03	1.206554E-04	3.236836E-05
3.414668E+03	1.218116E-04	3.247518E-05
3.424623E+03	1.229600E-04	3.257562E-05
3.434579E+03	1.241158E-04	3.267364E-05
3.444534E+03	1.252943E-04	3.277322E-05
3.454489E+03	1.264659E-04	3.286658E-05
3.464445E+03	1.276613E-04	3.296159E-05
3.474400E+03	1.288657E-04	3.305438E-05
3.484355E+03	1.300949E-04	3.314892E-05
3.494311E+03	1.313188E-04	3.323742E-05
3.504266E+03	1.325686E-04	3.332776E-05
3.514221E+03	1.338293E-04	3.341605E-05
3.524176E+03	1.351014E-04	3.350234E-05
3.534132E+03	1.363853E-04	3.358668E-05
3.544087E+03	1.376814E-04	3.366909E-05
3.554042E+03	1.390063E-04	3.375350E-05
3.563998E+03	1.403285E-04	3.383217E-05
3.573953E+03	1.416805E-04	3.391288E-05
3.583908E+03	1.430468E-04	3.399180E-05
3.593864E+03	1.444278E-04	3.406892E-05
3.603819E+03	1.458405E-04	3.414815E-05
3.613774E+03	1.472525E-04	3.422177E-05
3.623729E+03	1.486973E-04	3.429751E-05
3.633685E+03	1.501421E-04	3.436768E-05
3.643640E+03	1.516210E-04	3.443998E-05
3.653595E+03	1.531176E-04	3.451057E-05
3.663551E+03	1.546496E-04	3.458328E-05
3.673506E+03	1.561832E-04	3.465044E-05
3.683461E+03	1.577534E-04	3.471970E-05
3.693417E+03	1.593260E-04	3.478341E-05
3.703372E+03	1.609363E-04	3.484920E-05
3.713327E+03	1.625674E-04	3.491323E-05
3.723282E+03	1.642199E-04	3.497547E-05
3.733238E+03	1.658941E-04	3.503590E-05
3.743193E+03	1.676086E-04	3.509828E-05
3.753148E+03	1.693279E-04	3.515502E-05
3.763104E+03	1.710889E-04	3.521366E-05
3.773059E+03	1.728737E-04	3.527033E-05
3.783014E+03	1.746642E-04	3.532126E-05
3.792970E+03	1.764981E-04	3.537391E-05
3.802925E+03	1.783762E-04	3.542824E-05
3.812880E+03	1.802614E-04	3.547670E-05
3.822835E+03	1.821729E-04	3.552299E-05
3.832791E+03	1.841110E-04	3.556700E-05
3.842746E+03	1.860958E-04	3.561243E-05
3.852701E+03	1.881084E-04	3.565546E-05
3.862657E+03	1.901299E-04	3.569238E-05
3.872612E+03	1.921995E-04	3.573041E-05
3.882567E+03	1.942984E-04	3.576584E-05
3.892523E+03	1.964272E-04	3.579859E-05
3.902478E+03	1.985860E-04	3.582856E-05
3.912433E+03	2.007754E-04	3.585565E-05
3.922388E+03	2.029959E-04	3.587978E-05
3.932344E+03	2.052477E-04	3.590083E-05
3.942299E+03	2.075521E-04	3.592234E-05
3.952254E+03	2.098682E-04	3.593695E-05
3.962210E+03	2.122378E-04	3.595176E-05
3.972165E+03	2.146196E-04	3.595949E-05
3.982120E+03	2.170562E-04	3.596719E-05
3.992076E+03	2.195051E-04	3.596756E-05
4.002031E+03	2.220099E-04	3.596763E-05
4.011986E+03	2.245494E-04	3.596369E-05
4.021941E+03	2.271019E-04	3.595212E-05
4.031897E+03	2.297116E-04	3.593979E-05
4.041852E+03	2.323568E-04	3.592301E-05
4.051807E+03	2.350154E-04	3.589825E-05
4.061763E+03	2.377326E-04	3.587226E-05
4.071718E+03	2.404859E-04	3.584140E-05
4.081673E+03	2.432758E-04	3.580553E-05
4.091629E+03	2.461027E-04	3.576454E-05
4.101584E+03	2.489663E-04	3.571821E-05
4.111539E+03	2.518429E-04	3.566301E-05
4.121494E+03	2.547804E-04	3.560557E-05
4.131450E+03	2.577550E-04	3.554232E-05
4.141405E+03	2.607668E-04	3.547308E-05
4.151360E+03	2.638158E-04	3.539770E-05
4.161316E+03	2.668771E-04	3.531270E-05
4.171271E+03	2.700001E-04	3.522451E-05
4.181226E+03	2.731600E-04	3.512964E-05
4.191182E+03	2.763312E-04	3.502470E-05
4.201137E+03	2.795645E-04	3.491600E-05
4.211092E+03	2.828081E-04	3.479690E-05
4.221047E+03	2.861135E-04	3.467363E-05
4.231003E+03	2.894283E-04	3.453967E-05
4.240958E+03	2.928044E-04	3.440113E-05
4.250913E+03	2.961888E-04	3.425162E-05
4.260869E+03	2.996070E-04	3.409407E-05
4.270824E+03	3.030587E-04	3.392834E-05
4.280779E+03	3.065430E-04	3.375426E-05
4.290735E+03	3.100594E-04	3.357168E-05
4.300690E+03	3.136074E-04	3.338047E-05
4.310645E+03	3.171856E-04	3.318043E-05
4.320601E+03	3.207651E-04	3.296854E-05
4.330556E+03	3.244013E-04	3.275053E-05
4.340511E+03	3.280365E-04	3.252048E-05
