#wls	flux	fluxerr
1.592848E+03	7.948629E-17	1.292025E-18
1.632669E+03	8.255318E-17	1.335733E-18
1.672491E+03	8.539105E-17	1.375150E-18
1.712312E+03	8.795243E-17	1.409551E-18
1.752133E+03	9.017893E-17	1.438054E-18
1.791954E+03	9.193860E-17	1.458630E-18
1.831775E+03	9.302552E-17	1.468133E-18
1.871597E+03	9.324349E-17	1.463641E-18
1.911418E+03	9.237871E-17	1.442037E-18
1.951239E+03	9.030450E-17	1.401637E-18
1.991060E+03	8.711735E-17	1.344264E-18
2.030881E+03	8.332415E-17	1.278010E-18
2.070703E+03	7.990972E-17	1.218077E-18
2.110524E+03	7.817049E-17	1.184011E-18
2.150345E+03	7.930500E-17	1.193371E-18
2.190166E+03	8.394456E-17	1.254734E-18
2.229987E+03	9.201958E-17	1.365979E-18
2.269809E+03	1.029186E-16	1.516981E-18
2.309630E+03	1.158029E-16	1.694510E-18
2.349451E+03	1.299010E-16	1.886641E-18
2.389272E+03	1.446547E-16	2.084841E-18
2.429093E+03	1.597390E-16	2.284147E-18
2.468915E+03	1.750415E-16	2.482755E-18
2.508736E+03	1.905630E-16	2.680498E-18
2.548557E+03	2.064029E-16	2.878583E-18
2.588378E+03	2.226884E-16	3.078549E-18
2.628199E+03	2.395849E-16	3.282392E-18
2.668021E+03	2.572623E-16	3.492081E-18
2.707842E+03	2.759069E-16	3.709708E-18
2.747663E+03	2.957223E-16	3.937490E-18
2.787484E+03	3.169226E-16	4.177663E-18
2.827305E+03	3.397446E-16	4.432634E-18
2.867127E+03	3.644726E-16	4.705269E-18
2.906948E+03	3.914047E-16	4.998442E-18
2.946769E+03	4.209246E-16	5.315917E-18
2.986590E+03	4.534281E-16	5.661363E-18
2.996546E+03	4.620859E-16	5.752742E-18
3.006501E+03	4.709597E-16	5.846116E-18
3.016456E+03	4.800561E-16	5.941540E-18
3.026411E+03	4.894122E-16	6.039445E-18
3.036367E+03	4.990613E-16	6.140207E-18
3.046322E+03	5.090455E-16	6.244310E-18
3.056277E+03	5.193975E-16	6.352111E-18
3.066233E+03	5.301037E-16	6.463401E-18
3.076188E+03	5.411616E-16	6.578107E-18
3.086143E+03	5.525924E-16	6.696442E-18
3.096099E+03	5.643716E-16	6.818066E-18
3.106054E+03	5.765100E-16	6.943065E-18
3.116009E+03	5.889943E-16	7.071235E-18
3.125964E+03	6.018594E-16	7.202952E-18
3.135920E+03	6.150679E-16	7.337721E-18
3.145875E+03	6.286309E-16	7.475631E-18
3.155830E+03	6.425578E-16	7.616751E-18
3.165786E+03	6.568463E-16	7.761005E-18
3.175741E+03	6.714685E-16	7.908022E-18
3.185696E+03	6.864569E-16	8.058138E-18
3.195652E+03	7.017802E-16	8.210942E-18
3.205607E+03	7.174439E-16	8.366455E-18
3.215562E+03	7.334255E-16	8.524371E-18
3.225517E+03	7.497263E-16	8.684662E-18
3.235473E+03	7.663320E-16	8.847125E-18
3.245428E+03	7.832255E-16	9.011522E-18
3.255383E+03	8.003725E-16	9.177420E-18
3.265339E+03	8.177622E-16	9.344663E-18
3.275294E+03	8.353658E-16	9.512889E-18
3.285249E+03	8.531361E-16	9.681534E-18
3.295205E+03	8.710480E-16	9.850291E-18
3.305160E+03	8.890431E-16	1.001848E-17
3.315115E+03	9.070841E-16	1.018567E-17
3.325070E+03	9.250996E-16	1.035105E-17
3.335026E+03	9.430246E-16	1.051389E-17
3.344981E+03	9.607873E-16	1.067341E-17
3.354936E+03	9.783066E-16	1.082873E-17
3.364892E+03	9.954957E-16	1.097891E-17
3.374847E+03	1.012243E-15	1.112276E-17
3.384802E+03	1.028461E-15	1.125938E-17
3.394758E+03	1.044009E-15	1.138729E-17
3.404713E+03	1.058800E-15	1.150564E-17
3.414668E+03	1.072683E-15	1.161287E-17
3.424623E+03	1.085532E-15	1.170774E-17
3.434579E+03	1.097222E-15	1.178902E-17
3.444534E+03	1.107610E-15	1.185533E-17
3.454489E+03	1.116589E-15	1.190570E-17
3.464445E+03	1.124027E-15	1.193888E-17
3.474400E+03	1.129804E-15	1.195380E-17
3.484355E+03	1.133824E-15	1.194966E-17
3.494311E+03	1.135996E-15	1.192572E-17
3.504266E+03	1.136277E-15	1.188176E-17
3.514221E+03	1.134590E-15	1.181722E-17
3.524176E+03	1.130943E-15	1.173241E-17
3.534132E+03	1.125343E-15	1.162768E-17
3.544087E+03	1.117847E-15	1.150383E-17
3.554042E+03	1.108516E-15	1.136176E-17
3.563998E+03	1.097471E-15	1.120291E-17
3.573953E+03	1.084898E-15	1.102941E-17
3.583908E+03	1.070984E-15	1.084333E-17
3.593864E+03	1.056034E-15	1.064793E-17
3.603819E+03	1.040374E-15	1.044661E-17
3.613774E+03	1.024341E-15	1.024284E-17
3.623729E+03	1.008298E-15	1.004028E-17
3.633685E+03	9.926181E-16	9.842642E-18
3.643640E+03	9.776493E-16	9.653312E-18
3.653595E+03	9.637601E-16	9.475828E-18
3.663551E+03	9.512620E-16	9.313109E-18
3.673506E+03	9.404829E-16	9.168179E-18
3.683461E+03	9.317196E-16	9.043705E-18
3.693417E+03	9.252624E-16	8.942242E-18
3.703372E+03	9.213626E-16	8.865922E-18
3.713327E+03	9.202734E-16	8.816850E-18
3.723282E+03	9.222229E-16	8.796851E-18
3.733238E+03	9.274306E-16	8.807631E-18
3.743193E+03	9.360920E-16	8.850629E-18
3.749588E+03	7.665170E-16	7.226671E-18
3.751279E+03	7.687614E-16	7.242357E-18
3.752969E+03	7.718455E-16	7.265917E-18
3.754660E+03	7.710658E-16	7.253087E-18
3.756350E+03	7.677103E-16	7.216058E-18
3.758040E+03	7.647469E-16	7.182759E-18
3.759731E+03	7.615592E-16	7.147397E-18
3.761420E+03	7.578676E-16	7.107360E-18
3.763111E+03	7.573121E-16	7.096759E-18
3.764801E+03	7.609562E-16	7.125492E-18
3.766491E+03	7.646564E-16	7.154697E-18
3.768182E+03	7.685243E-16	7.185419E-18
3.769872E+03	7.721128E-16	7.213474E-18
3.771563E+03	7.742452E-16	7.227887E-18
3.773253E+03	7.755936E-16	7.234955E-18
3.774944E+03	7.733022E-16	7.208077E-18
3.776633E+03	7.689383E-16	7.161933E-18
3.778323E+03	7.665907E-16	7.134613E-18
3.780014E+03	7.672112E-16	7.134930E-18
3.781704E+03	7.700716E-16	7.156053E-18
3.783395E+03	7.752842E-16	7.198977E-18
3.785085E+03	7.824013E-16	7.259498E-18
3.786775E+03	7.905819E-16	7.329779E-18
3.788466E+03	7.984832E-16	7.397356E-18
3.790156E+03	8.058803E-16	7.460153E-18
3.791847E+03	8.175899E-16	7.562737E-18
3.793537E+03	8.341156E-16	7.709670E-18
3.795226E+03	8.535543E-16	7.883275E-18
3.796917E+03	8.759049E-16	8.083474E-18
3.798607E+03	9.004406E-16	8.303506E-18
3.800298E+03	9.234079E-16	8.508738E-18
3.801988E+03	9.409434E-16	8.663632E-18
3.803678E+03	9.523744E-16	8.762114E-18
3.805369E+03	9.624055E-16	8.847564E-18
3.807059E+03	9.736131E-16	8.943679E-18
3.808750E+03	9.884051E-16	9.072538E-18
3.810439E+03	1.007342E-15	9.239203E-18
3.812130E+03	1.028799E-15	9.428701E-18
3.813820E+03	1.052441E-15	9.637901E-18
3.815510E+03	1.076868E-15	9.853942E-18
3.817201E+03	1.099054E-15	1.004916E-17
3.818891E+03	1.121185E-15	1.024355E-17
3.820582E+03	1.144213E-15	1.044582E-17
3.822272E+03	1.163432E-15	1.061301E-17
3.823961E+03	1.179851E-15	1.075442E-17
3.825652E+03	1.196886E-15	1.090121E-17
3.827342E+03	1.212913E-15	1.103858E-17
3.829033E+03	1.228717E-15	1.117369E-17
3.830723E+03	1.243961E-15	1.130349E-17
3.832413E+03	1.254781E-15	1.139290E-17
3.834104E+03	1.262743E-15	1.145625E-17
3.835794E+03	1.273283E-15	1.154284E-17
3.837485E+03	1.286231E-15	1.165110E-17
3.839175E+03	1.297612E-15	1.174499E-17
3.840865E+03	1.308936E-15	1.183822E-17
3.842555E+03	1.321717E-15	1.194445E-17
3.844245E+03	1.332146E-15	1.202926E-17
3.845936E+03	1.339550E-15	1.208663E-17
3.847626E+03	1.349251E-15	1.216460E-17
