#wls	flux	fluxerr
1.592848E+03	1.016700E-16	2.632097E-18
1.632669E+03	1.065916E-16	2.744484E-18
1.672491E+03	1.112981E-16	2.849600E-18
1.712312E+03	1.157230E-16	2.945792E-18
1.752133E+03	1.197840E-16	3.031046E-18
1.791954E+03	1.232743E-16	3.100280E-18
1.831775E+03	1.259331E-16	3.147191E-18
1.871597E+03	1.274486E-16	3.164401E-18
1.911418E+03	1.274923E-16	3.144339E-18
1.951239E+03	1.258540E-16	3.082575E-18
1.991060E+03	1.226338E-16	2.982420E-18
2.030881E+03	1.185053E-16	2.860982E-18
2.070703E+03	1.148590E-16	2.752106E-18
2.110524E+03	1.136154E-16	2.701231E-18
2.150345E+03	1.165973E-16	2.750013E-18
2.190166E+03	1.249010E-16	2.921653E-18
2.229987E+03	1.385831E-16	3.214255E-18
2.269809E+03	1.568526E-16	3.606253E-18
2.309630E+03	1.786000E-16	4.069342E-18
2.349451E+03	2.027805E-16	4.577483E-18
2.389272E+03	2.286000E-16	5.111049E-18
2.429093E+03	2.555588E-16	5.657559E-18
2.468915E+03	2.834007E-16	6.210266E-18
2.508736E+03	3.120554E-16	6.766657E-18
2.548557E+03	3.415233E-16	7.325768E-18
2.588378E+03	3.718769E-16	7.888138E-18
2.628199E+03	4.031678E-16	8.453770E-18
2.668021E+03	4.353979E-16	9.021557E-18
2.707842E+03	4.685688E-16	9.590353E-18
2.747663E+03	5.025899E-16	1.015712E-17
2.787484E+03	5.373011E-16	1.071748E-17
2.827305E+03	5.724496E-16	1.126541E-17
2.867127E+03	6.077175E-16	1.179386E-17
2.906948E+03	6.428241E-16	1.229682E-17
2.946769E+03	6.776051E-16	1.277080E-17
2.986590E+03	7.118850E-16	1.321231E-17
2.996546E+03	7.203424E-16	1.331697E-17
3.006501E+03	7.287739E-16	1.341969E-17
3.016456E+03	7.371341E-16	1.351966E-17
3.026411E+03	7.454430E-16	1.361723E-17
3.036367E+03	7.537778E-16	1.371381E-17
3.046322E+03	7.621445E-16	1.380951E-17
3.056277E+03	7.705819E-16	1.390500E-17
3.066233E+03	7.790591E-16	1.399971E-17
3.076188E+03	7.875455E-16	1.409308E-17
3.086143E+03	7.960119E-16	1.418457E-17
3.096099E+03	8.044625E-16	1.427425E-17
3.106054E+03	8.128526E-16	1.436134E-17
3.116009E+03	8.211705E-16	1.444563E-17
3.125964E+03	8.293898E-16	1.452666E-17
3.135920E+03	8.374839E-16	1.460400E-17
3.145875E+03	8.454440E-16	1.467751E-17
3.155830E+03	8.532602E-16	1.474704E-17
3.165786E+03	8.608766E-16	1.481166E-17
3.175741E+03	8.683176E-16	1.487183E-17
3.185696E+03	8.755443E-16	1.492691E-17
3.195652E+03	8.825503E-16	1.497685E-17
3.205607E+03	8.893147E-16	1.502133E-17
3.215562E+03	8.958023E-16	1.505983E-17
3.225517E+03	9.020399E-16	1.509283E-17
3.235473E+03	9.079648E-16	1.511937E-17
3.245428E+03	9.136058E-16	1.513998E-17
3.255383E+03	9.189480E-16	1.515449E-17
3.265339E+03	9.239496E-16	1.516227E-17
3.275294E+03	9.286429E-16	1.516394E-17
3.285249E+03	9.329901E-16	1.515894E-17
3.295205E+03	9.369989E-16	1.514750E-17
3.305160E+03	9.406639E-16	1.512959E-17
3.315115E+03	9.439964E-16	1.510548E-17
3.325070E+03	9.469812E-16	1.507502E-17
3.335026E+03	9.496185E-16	1.503829E-17
3.344981E+03	9.519095E-16	1.499540E-17
3.354936E+03	9.538686E-16	1.494665E-17
3.364892E+03	9.554836E-16	1.489194E-17
3.374847E+03	9.567539E-16	1.483135E-17
3.384802E+03	9.576782E-16	1.476494E-17
3.394758E+03	9.582408E-16	1.469256E-17
3.404713E+03	9.584374E-16	1.461424E-17
3.414668E+03	9.582618E-16	1.452998E-17
3.424623E+03	9.576946E-16	1.443959E-17
3.434579E+03	9.567284E-16	1.434305E-17
3.444534E+03	9.553465E-16	1.424022E-17
3.454489E+03	9.535353E-16	1.413102E-17
3.464445E+03	9.512855E-16	1.401541E-17
3.474400E+03	9.485838E-16	1.389332E-17
3.484355E+03	9.454471E-16	1.376513E-17
3.494311E+03	9.418777E-16	1.363097E-17
3.504266E+03	9.378793E-16	1.349103E-17
3.514221E+03	9.334566E-16	1.334549E-17
3.524176E+03	9.286557E-16	1.319511E-17
3.534132E+03	9.235035E-16	1.304039E-17
3.544087E+03	9.180218E-16	1.288174E-17
3.554042E+03	9.122721E-16	1.272010E-17
3.563998E+03	9.063196E-16	1.255645E-17
3.573953E+03	9.002322E-16	1.239179E-17
3.583908E+03	8.940831E-16	1.222717E-17
3.593864E+03	8.879947E-16	1.206427E-17
3.603819E+03	8.820830E-16	1.190464E-17
3.613774E+03	8.764745E-16	1.174995E-17
3.623729E+03	8.713453E-16	1.160246E-17
3.633685E+03	8.668525E-16	1.146413E-17
3.643640E+03	8.631687E-16	1.133706E-17
3.653595E+03	8.604799E-16	1.122345E-17
3.663551E+03	8.589780E-16	1.112553E-17
3.673506E+03	8.588532E-16	1.104541E-17
3.683461E+03	8.603242E-16	1.098553E-17
3.693417E+03	8.635862E-16	1.094791E-17
3.703372E+03	8.688629E-16	1.093489E-17
