#wls	flux	fluxerr
1.600000E+03	6.773179E-16	2.297063E-17
1.640000E+03	6.987270E-16	2.355020E-17
1.680000E+03	7.217784E-16	2.417259E-17
1.720000E+03	7.464781E-16	2.483661E-17
1.760000E+03	7.731168E-16	2.555038E-17
1.800000E+03	8.017005E-16	2.631239E-17
1.840000E+03	8.323774E-16	2.712568E-17
1.880000E+03	8.654382E-16	2.799770E-17
1.920000E+03	9.008873E-16	2.892635E-17
1.960000E+03	9.389425E-16	2.991627E-17
2.000000E+03	9.796763E-16	3.096718E-17
2.040000E+03	1.023303E-15	3.208311E-17
2.080000E+03	1.069747E-15	3.325869E-17
2.120000E+03	1.118996E-15	3.449062E-17
2.160000E+03	1.170965E-15	3.577315E-17
2.200000E+03	1.225197E-15	3.708936E-17
2.240000E+03	1.281153E-15	3.842020E-17
2.280000E+03	1.338579E-15	3.975569E-17
2.320000E+03	1.397499E-15	4.109426E-17
2.360000E+03	1.458737E-15	4.245751E-17
2.400000E+03	1.522962E-15	4.386147E-17
2.440000E+03	1.590758E-15	4.531891E-17
2.480000E+03	1.662841E-15	4.684539E-17
2.520000E+03	1.739468E-15	4.844268E-17
2.560000E+03	1.821020E-15	5.011540E-17
2.600000E+03	1.907705E-15	5.186284E-17
2.640000E+03	1.999762E-15	5.368466E-17
2.680000E+03	2.097175E-15	5.557320E-17
2.720000E+03	2.199879E-15	5.751935E-17
2.760000E+03	2.307674E-15	5.951044E-17
2.800000E+03	2.420220E-15	6.153031E-17
2.840000E+03	2.537095E-15	6.356103E-17
2.880000E+03	2.657920E-15	6.558625E-17
2.920000E+03	2.782333E-15	6.759043E-17
2.960000E+03	2.910107E-15	6.956166E-17
3.000000E+03	3.041017E-15	7.148836E-17
3.010000E+03	3.074284E-15	7.196350E-17
3.020000E+03	3.107652E-15	7.243318E-17
3.030000E+03	3.141236E-15	7.289995E-17
3.040000E+03	3.174939E-15	7.336149E-17
3.050000E+03	3.208805E-15	7.381873E-17
3.060000E+03	3.242873E-15	7.427247E-17
3.070000E+03	3.276975E-15	7.471880E-17
3.080000E+03	3.311283E-15	7.516157E-17
3.090000E+03	3.345628E-15	7.559683E-17
3.100000E+03	3.380110E-15	7.602681E-17
3.110000E+03	3.414623E-15	7.644904E-17
3.120000E+03	3.449127E-15	7.686260E-17
3.130000E+03	3.483717E-15	7.726952E-17
3.140000E+03	3.518212E-15	7.766578E-17
3.150000E+03	3.552769E-15	7.805481E-17
3.160000E+03	3.587138E-15	7.843107E-17
3.170000E+03	3.621467E-15	7.879782E-17
3.180000E+03	3.655572E-15	7.915105E-17
3.190000E+03	3.689530E-15	7.949244E-17
3.200000E+03	3.723214E-15	7.981930E-17
3.210000E+03	3.756633E-15	8.013185E-17
3.220000E+03	3.789723E-15	8.042880E-17
3.230000E+03	3.822419E-15	8.070882E-17
3.240000E+03	3.854591E-15	8.096931E-17
3.250000E+03	3.886299E-15	8.121165E-17
3.260000E+03	3.917408E-15	8.143315E-17
3.270000E+03	3.947913E-15	8.163387E-17
3.280000E+03	3.977679E-15	8.181119E-17
3.290000E+03	4.006634E-15	8.196387E-17
3.300000E+03	4.034772E-15	8.209203E-17
3.310000E+03	4.061961E-15	8.219322E-17
3.320000E+03	4.088199E-15	8.226770E-17
3.330000E+03	4.113421E-15	8.231449E-17
3.332000E+03	1.057781E-15	2.114373E-17
3.334000E+03	1.064657E-15	2.125726E-17
3.336000E+03	1.087828E-15	2.169544E-17
3.338000E+03	1.109677E-15	2.210624E-17
3.340000E+03	1.106116E-15	2.201040E-17
3.342000E+03	1.124772E-15	2.235631E-17
3.344000E+03	1.154207E-15	2.291534E-17
3.346000E+03	1.177628E-15	2.335380E-17
3.348000E+03	1.220339E-15	2.417327E-17
3.350000E+03	1.256694E-15	2.486504E-17
3.352000E+03	1.261652E-15	2.493463E-17
3.354000E+03	1.294744E-15	2.555937E-17
3.356000E+03	1.305261E-15	2.573746E-17
3.358000E+03	1.308951E-15	2.578057E-17
3.360000E+03	1.352906E-15	2.661565E-17
3.362000E+03	1.349139E-15	2.651097E-17
3.364000E+03	1.357418E-15	2.664287E-17
3.366000E+03	1.390553E-15	2.726166E-17
3.368000E+03	1.416967E-15	2.774733E-17
3.370000E+03	1.418348E-15	2.774213E-17
3.372000E+03	1.413996E-15	2.762486E-17
3.374000E+03	1.398357E-15	2.728751E-17
3.376000E+03	1.411867E-15	2.751899E-17
3.378000E+03	1.429572E-15	2.783152E-17
3.380000E+03	1.443616E-15	2.807201E-17
3.382000E+03	1.473457E-15	2.861868E-17
3.384000E+03	1.478277E-15	2.867856E-17
3.386000E+03	1.485613E-15	2.878694E-17
3.388000E+03	1.499942E-15	2.903032E-17
3.390000E+03	1.513026E-15	2.924894E-17
3.392000E+03	1.531077E-15	2.956286E-17
3.394000E+03	1.540947E-15	2.971815E-17
3.396000E+03	1.558803E-15	3.002679E-17
3.398000E+03	1.597036E-15	3.072666E-17
3.400000E+03	1.614403E-15	3.102376E-17
3.402000E+03	1.640296E-15	3.148368E-17
3.404000E+03	1.692172E-15	3.244051E-17
3.406000E+03	1.703505E-15	3.261862E-17
3.408000E+03	1.714658E-15	3.279275E-17
3.410000E+03	1.764873E-15	3.371248E-17
3.412000E+03	1.812870E-15	3.458758E-17
3.414000E+03	1.875974E-15	3.574830E-17
3.416000E+03	1.923602E-15	3.661154E-17
3.418000E+03	1.947596E-15	3.702330E-17
3.420000E+03	1.988477E-15	3.775452E-17
3.422000E+03	2.039940E-15	3.868451E-17
3.424000E+03	2.086856E-15	3.952597E-17
3.426000E+03	2.129563E-15	4.028562E-17
3.428000E+03	2.175620E-15	4.110655E-17
3.430000E+03	2.233124E-15	4.214133E-17
3.432000E+03	2.295736E-15	4.326969E-17
3.434000E+03	2.348643E-15	4.421242E-17
3.436000E+03	2.403111E-15	4.518201E-17
3.438000E+03	2.460909E-15	4.621159E-17
3.440000E+03	2.510515E-15	4.708479E-17
3.442000E+03	2.570538E-15	4.815078E-17
3.444000E+03	2.629677E-15	4.919742E-17
3.446000E+03	2.685666E-15	5.018240E-17
3.448000E+03	2.752827E-15	5.137323E-17
3.450000E+03	2.821143E-15	5.258241E-17
3.452000E+03	2.887297E-15	5.374814E-17
3.454000E+03	2.949639E-15	5.483986E-17
3.456000E+03	3.016559E-15	5.601364E-17
3.458000E+03	3.073158E-15	5.699284E-17
3.460000E+03	3.121324E-15	5.781317E-17
3.462000E+03	3.172147E-15	5.868035E-17
3.464000E+03	3.202264E-15	5.916256E-17
3.466000E+03	3.235270E-15	5.969662E-17
3.468000E+03	3.287619E-15	6.058557E-17
3.470000E+03	3.335739E-15	6.139416E-17
3.472000E+03	3.366161E-15	6.187514E-17
3.474000E+03	3.396444E-15	6.235210E-17
3.476000E+03	3.427576E-15	6.284315E-17
3.478000E+03	3.454724E-15	6.325976E-17
3.480000E+03	3.485305E-15	6.373780E-17
3.482000E+03	3.517335E-15	6.424084E-17
3.484000E+03	3.538093E-15	6.453671E-17
3.486000E+03	3.557896E-15	6.481416E-17
3.488000E+03	3.577077E-15	6.507930E-17
3.490000E+03	3.602154E-15	6.545062E-17
3.492000E+03	3.632843E-15	6.592255E-17
