#wls	flux	fluxerr
1.600000E+03	2.699502E-17	2.269016E-17
1.640000E+03	2.777829E-17	2.317050E-17
1.680000E+03	2.858197E-17	2.365473E-17
1.720000E+03	2.941113E-17	2.414634E-17
1.760000E+03	3.027129E-17	2.464905E-17
1.800000E+03	3.115123E-17	2.515284E-17
1.840000E+03	3.206795E-17	2.567063E-17
1.880000E+03	3.300378E-17	2.618730E-17
1.920000E+03	3.397644E-17	2.671604E-17
1.960000E+03	3.497979E-17	2.725094E-17
2.000000E+03	3.602005E-17	2.779575E-17
2.040000E+03	3.708402E-17	2.833922E-17
2.080000E+03	3.819098E-17	2.889500E-17
2.120000E+03	3.933417E-17	2.945665E-17
2.160000E+03	4.051322E-17	3.002264E-17
2.200000E+03	4.174190E-17	3.060179E-17
2.240000E+03	4.300562E-17	3.118191E-17
2.280000E+03	4.431091E-17	3.176635E-17
2.320000E+03	4.567225E-17	3.236388E-17
2.360000E+03	4.708170E-17	3.296706E-17
2.400000E+03	4.854632E-17	3.357905E-17
2.440000E+03	5.006539E-17	3.419739E-17
2.480000E+03	5.164586E-17	3.482483E-17
2.520000E+03	5.329494E-17	3.546397E-17
2.560000E+03	5.501139E-17	3.611157E-17
2.600000E+03	5.680200E-17	3.676960E-17
2.640000E+03	5.868196E-17	3.744508E-17
2.680000E+03	6.064037E-17	3.812802E-17
2.720000E+03	6.269168E-17	3.882448E-17
2.760000E+03	6.484997E-17	3.953969E-17
2.800000E+03	6.711094E-17	4.026723E-17
2.840000E+03	6.948710E-17	4.101074E-17
2.880000E+03	7.199002E-17	4.177272E-17
2.920000E+03	7.462080E-17	4.254918E-17
2.960000E+03	7.738798E-17	4.334018E-17
3.000000E+03	8.030746E-17	4.414939E-17
3.010000E+03	8.106959E-17	4.435851E-17
3.020000E+03	8.182585E-17	4.455991E-17
3.030000E+03	8.260344E-17	4.476835E-17
3.040000E+03	8.339295E-17	4.497858E-17
3.050000E+03	8.418494E-17	4.518542E-17
3.060000E+03	8.498834E-17	4.539361E-17
3.070000E+03	8.580277E-17	4.560284E-17
3.080000E+03	8.662798E-17	4.581288E-17
3.090000E+03	8.747283E-17	4.602828E-17
3.100000E+03	8.831865E-17	4.623911E-17
3.110000E+03	8.917422E-17	4.644990E-17
3.120000E+03	9.004833E-17	4.666512E-17
3.130000E+03	9.093155E-17	4.687975E-17
3.140000E+03	9.182338E-17	4.709343E-17
3.150000E+03	9.273263E-17	4.731059E-17
3.160000E+03	9.364971E-17	4.752618E-17
3.170000E+03	9.457425E-17	4.773996E-17
3.180000E+03	9.551485E-17	4.795615E-17
3.190000E+03	9.647108E-17	4.817439E-17
3.200000E+03	9.743337E-17	4.838980E-17
3.210000E+03	9.841029E-17	4.860653E-17
3.220000E+03	9.940139E-17	4.882423E-17
3.230000E+03	1.003970E-16	4.903802E-17
3.240000E+03	1.014147E-16	4.925645E-17
3.250000E+03	1.024359E-16	4.947025E-17
3.260000E+03	1.034780E-16	4.968781E-17
3.270000E+03	1.045315E-16	4.990433E-17
3.280000E+03	1.055957E-16	5.011941E-17
3.290000E+03	1.066699E-16	5.033265E-17
3.300000E+03	1.077626E-16	5.054784E-17
3.310000E+03	1.088640E-16	5.076032E-17
3.320000E+03	1.099823E-16	5.097381E-17
3.330000E+03	1.111081E-16	5.118374E-17
3.340000E+03	1.122495E-16	5.139378E-17
3.350000E+03	1.134057E-16	5.160339E-17
3.360000E+03	1.145670E-16	5.180812E-17
3.370000E+03	1.157505E-16	5.201550E-17
3.380000E+03	1.169463E-16	5.222097E-17
3.390000E+03	1.181538E-16	5.242410E-17
3.400000E+03	1.193721E-16	5.262437E-17
3.410000E+03	1.206089E-16	5.282511E-17
3.420000E+03	1.218548E-16	5.302197E-17
3.430000E+03	1.231175E-16	5.321823E-17
3.440000E+03	1.243874E-16	5.340961E-17
3.450000E+03	1.256722E-16	5.359930E-17
3.460000E+03	1.269710E-16	5.378678E-17
3.470000E+03	1.282829E-16	5.397148E-17
3.480000E+03	1.296150E-16	5.415635E-17
3.490000E+03	1.309499E-16	5.433387E-17
3.500000E+03	1.323034E-16	5.451053E-17
3.510000E+03	1.336664E-16	5.468248E-17
3.520000E+03	1.350470E-16	5.485287E-17
