#wls	flux	fluxerr
1.600000E+03	9.196553E-17	6.863526E-17
1.640000E+03	9.338065E-17	6.886775E-17
1.680000E+03	9.481591E-17	6.906809E-17
1.720000E+03	9.626879E-17	6.923263E-17
1.760000E+03	9.773653E-17	6.935758E-17
1.800000E+03	9.921615E-17	6.943907E-17
1.840000E+03	1.007226E-16	6.948573E-17
1.880000E+03	1.022530E-16	6.949337E-17
1.920000E+03	1.037856E-16	6.944535E-17
1.960000E+03	1.053538E-16	6.936221E-17
2.000000E+03	1.069356E-16	6.922707E-17
2.040000E+03	1.085460E-16	6.904761E-17
2.080000E+03	1.101810E-16	6.881901E-17
2.120000E+03	1.118365E-16	6.853640E-17
2.160000E+03	1.135272E-16	6.820654E-17
2.200000E+03	1.152484E-16	6.782402E-17
2.240000E+03	1.169952E-16	6.738340E-17
2.280000E+03	1.187620E-16	6.687926E-17
2.320000E+03	1.205823E-16	6.632789E-17
2.360000E+03	1.224301E-16	6.571199E-17
2.400000E+03	1.243183E-16	6.503594E-17
2.440000E+03	1.262394E-16	6.429310E-17
2.480000E+03	1.282249E-16	6.349652E-17
2.520000E+03	1.302655E-16	6.263811E-17
2.560000E+03	1.323515E-16	6.170988E-17
2.600000E+03	1.345109E-16	6.072178E-17
2.640000E+03	1.367313E-16	5.966442E-17
2.680000E+03	1.390181E-16	5.853691E-17
2.720000E+03	1.413754E-16	5.733748E-17
2.760000E+03	1.438238E-16	5.607096E-17
2.800000E+03	1.463623E-16	5.473296E-17
2.840000E+03	1.489688E-16	5.331184E-17
2.880000E+03	1.516929E-16	5.182247E-17
2.920000E+03	1.545059E-16	5.025134E-17
2.960000E+03	1.574127E-16	4.859791E-17
3.000000E+03	1.604317E-16	4.686602E-17
3.010000E+03	1.612011E-16	4.641974E-17
3.020000E+03	1.619820E-16	4.596977E-17
3.030000E+03	1.627562E-16	4.551092E-17
3.040000E+03	1.635582E-16	4.505287E-17
3.050000E+03	1.643520E-16	4.458562E-17
3.060000E+03	1.651546E-16	4.411386E-17
3.070000E+03	1.659651E-16	4.363738E-17
3.080000E+03	1.667826E-16	4.315599E-17
3.090000E+03	1.676065E-16	4.266950E-17
3.100000E+03	1.684359E-16	4.217777E-17
3.110000E+03	1.692699E-16	4.168065E-17
3.120000E+03	1.701078E-16	4.117802E-17
3.130000E+03	1.709654E-16	4.067378E-17
3.140000E+03	1.718083E-16	4.015980E-17
3.150000E+03	1.726691E-16	3.964390E-17
3.160000E+03	1.735466E-16	3.912579E-17
3.170000E+03	1.744234E-16	3.860158E-17
3.180000E+03	1.752986E-16	3.807130E-17
3.190000E+03	1.761874E-16	3.753846E-17
3.200000E+03	1.770727E-16	3.699951E-17
3.210000E+03	1.779696E-16	3.645786E-17
3.220000E+03	1.788770E-16	3.591339E-17
3.230000E+03	1.797936E-16	3.536603E-17
3.240000E+03	1.807026E-16	3.481272E-17
3.250000E+03	1.816187E-16	3.425665E-17
3.260000E+03	1.825563E-16	3.370073E-17
3.270000E+03	1.834831E-16	3.313923E-17
3.280000E+03	1.844289E-16	3.257793E-17
3.290000E+03	1.853618E-16	3.201152E-17
3.300000E+03	1.863111E-16	3.144554E-17
3.310000E+03	1.872605E-16	3.087755E-17
3.320000E+03	1.882236E-16	3.031028E-17
3.330000E+03	1.891843E-16	2.974154E-17
3.340000E+03	1.901561E-16	2.917400E-17
3.350000E+03	1.911232E-16	2.860576E-17
3.360000E+03	1.921132E-16	2.804156E-17
3.370000E+03	1.930816E-16	2.747548E-17
3.380000E+03	1.940702E-16	2.691426E-17
3.390000E+03	1.950636E-16	2.635633E-17
3.400000E+03	1.960602E-16	2.580227E-17
3.410000E+03	1.970591E-16	2.525270E-17
3.420000E+03	1.980728E-16	2.471006E-17
3.430000E+03	1.990863E-16	2.417328E-17
3.440000E+03	2.000987E-16	2.364317E-17
3.450000E+03	2.011226E-16	2.312216E-17
3.460000E+03	2.021435E-16	2.260952E-17
3.470000E+03	2.031874E-16	2.210905E-17
3.480000E+03	2.042271E-16	2.161869E-17
3.490000E+03	2.052754E-16	2.114076E-17
3.500000E+03	2.063321E-16	2.067611E-17
3.510000E+03	2.074099E-16	2.022682E-17
3.520000E+03	2.084963E-16	1.979239E-17
3.530000E+03	2.095920E-16	1.937360E-17
3.540000E+03	2.107103E-16	1.897228E-17
3.550000E+03	2.118401E-16	1.858787E-17
3.560000E+03	2.130073E-16	1.822299E-17
3.570000E+03	2.141895E-16	1.787588E-17
3.580000E+03	2.154011E-16	1.754785E-17
3.590000E+03	2.166445E-16	1.723902E-17
3.600000E+03	2.179345E-16	1.695028E-17
3.610000E+03	2.192625E-16	1.668052E-17
3.620000E+03	2.206323E-16	1.642949E-17
3.630000E+03	2.220705E-16	1.619842E-17
3.640000E+03	2.235585E-16	1.598503E-17
3.650000E+03	2.251011E-16	1.578865E-17
3.660000E+03	2.267252E-16	1.560998E-17
3.670000E+03	2.284356E-16	1.544800E-17
3.680000E+03	2.302156E-16	1.530011E-17
3.690000E+03	2.320921E-16	1.516660E-17
3.700000E+03	2.340597E-16	1.504547E-17
3.710000E+03	2.361446E-16	1.493671E-17
3.720000E+03	2.383307E-16	1.483755E-17
3.730000E+03	2.406335E-16	1.474719E-17
3.740000E+03	2.430573E-16	1.466415E-17
3.750000E+03	2.456063E-16	1.458691E-17
3.760000E+03	2.482941E-16	1.451456E-17
3.770000E+03	2.511135E-16	1.444497E-17
3.780000E+03	2.540766E-16	1.437726E-17
3.790000E+03	2.571846E-16	1.430992E-17
3.800000E+03	2.604275E-16	1.424100E-17
3.810000E+03	2.638242E-16	1.417020E-17
3.820000E+03	2.673524E-16	1.409514E-17
3.830000E+03	2.710280E-16	1.401563E-17
3.840000E+03	2.748455E-16	1.393052E-17
3.850000E+03	2.787878E-16	1.383826E-17
3.860000E+03	2.828459E-16	1.373797E-17
3.870000E+03	2.870188E-16	1.362938E-17
3.880000E+03	2.913033E-16	1.351239E-17
3.884444E+03	9.498068E-17	3.542797E-17
3.886566E+03	1.020253E-16	3.442417E-17
3.888688E+03	1.087741E-16	3.389973E-17
3.890811E+03	1.159669E-16	3.303098E-17
3.892933E+03	1.231426E-16	3.182364E-17
3.895056E+03	1.305306E-16	3.171746E-17
3.897180E+03	1.375704E-16	3.112349E-17
3.899304E+03	1.446896E-16	3.157406E-17
3.901427E+03	1.517604E-16	3.325910E-17
3.903552E+03	1.588453E-16	3.559569E-17
3.905677E+03	1.662728E-16	3.892104E-17
3.907802E+03	1.735946E-16	4.215344E-17
3.909927E+03	1.813035E-16	4.539501E-17
3.912052E+03	1.884424E-16	4.747116E-17
3.914178E+03	1.959528E-16	5.113171E-17
3.916304E+03	2.032608E-16	5.366753E-17
3.918431E+03	2.103118E-16	5.556301E-17
3.920557E+03	2.177498E-16	5.689854E-17
3.922684E+03	2.246229E-16	5.896137E-17
3.924812E+03	2.313666E-16	6.145473E-17
3.926939E+03	2.385730E-16	6.221151E-17
3.929067E+03	2.453996E-16	6.253477E-17
3.931196E+03	2.525899E-16	6.256063E-17
3.933324E+03	2.595568E-16	6.193234E-17
3.935453E+03	2.665117E-16	6.115586E-17
3.937582E+03	2.735799E-16	6.028681E-17
3.939711E+03	2.802313E-16	5.899364E-17
3.941841E+03	2.868315E-16	5.653165E-17
