#wls	flux	fluxerr
1.600000E+03	7.175684E-17	5.546853E-17
1.640000E+03	7.294925E-17	5.581610E-17
1.680000E+03	7.417437E-17	5.615479E-17
1.720000E+03	7.540483E-17	5.646239E-17
1.760000E+03	7.666479E-17	5.675572E-17
1.800000E+03	7.793925E-17	5.702214E-17
1.840000E+03	7.922596E-17	5.725869E-17
1.880000E+03	8.053613E-17	5.747212E-17
1.920000E+03	8.185367E-17	5.764950E-17
1.960000E+03	8.320352E-17	5.780704E-17
2.000000E+03	8.455517E-17	5.792198E-17
2.040000E+03	8.593355E-17	5.801019E-17
2.080000E+03	8.733564E-17	5.806799E-17
2.120000E+03	8.874374E-17	5.808218E-17
2.160000E+03	9.016834E-17	5.805854E-17
2.200000E+03	9.161999E-17	5.800243E-17
2.240000E+03	9.307991E-17	5.790056E-17
2.280000E+03	9.455803E-17	5.775806E-17
2.320000E+03	9.604935E-17	5.757073E-17
2.360000E+03	9.756326E-17	5.734314E-17
2.400000E+03	9.907916E-17	5.706225E-17
2.440000E+03	1.006204E-16	5.674089E-17
2.480000E+03	1.021803E-16	5.637430E-17
2.520000E+03	1.037367E-16	5.594991E-17
2.560000E+03	1.053263E-16	5.548740E-17
2.600000E+03	1.069112E-16	5.496638E-17
2.640000E+03	1.085265E-16	5.440541E-17
2.680000E+03	1.101332E-16	5.378513E-17
2.720000E+03	1.117650E-16	5.312318E-17
2.760000E+03	1.133964E-16	5.240830E-17
2.800000E+03	1.150447E-16	5.165029E-17
2.840000E+03	1.166977E-16	5.084547E-17
2.880000E+03	1.183568E-16	4.999710E-17
2.920000E+03	1.200229E-16	4.910858E-17
2.960000E+03	1.216962E-16	4.818352E-17
3.000000E+03	1.233764E-16	4.722591E-17
3.010000E+03	1.237959E-16	4.698132E-17
3.020000E+03	1.242282E-16	4.673974E-17
3.030000E+03	1.246461E-16	4.649098E-17
3.040000E+03	1.250630E-16	4.624018E-17
3.050000E+03	1.254919E-16	4.599226E-17
3.060000E+03	1.259193E-16	4.574223E-17
3.070000E+03	1.263450E-16	4.549015E-17
3.080000E+03	1.267687E-16	4.523605E-17
3.090000E+03	1.271903E-16	4.497999E-17
3.100000E+03	1.276227E-16	4.472660E-17
3.110000E+03	1.280526E-16	4.447124E-17
3.120000E+03	1.284797E-16	4.421400E-17
3.130000E+03	1.289040E-16	4.395494E-17
3.140000E+03	1.293381E-16	4.369848E-17
3.150000E+03	1.297690E-16	4.344027E-17
3.160000E+03	1.302092E-16	4.318460E-17
3.170000E+03	1.306458E-16	4.292725E-17
3.180000E+03	1.310787E-16	4.266833E-17
3.190000E+03	1.315204E-16	4.241199E-17
3.200000E+03	1.319580E-16	4.215420E-17
3.210000E+03	1.324041E-16	4.189900E-17
3.220000E+03	1.328458E-16	4.164249E-17
3.230000E+03	1.332956E-16	4.138861E-17
3.240000E+03	1.337410E-16	4.113357E-17
3.250000E+03	1.341940E-16	4.088123E-17
3.260000E+03	1.346546E-16	4.063156E-17
3.270000E+03	1.351105E-16	4.038096E-17
3.280000E+03	1.355737E-16	4.013313E-17
3.290000E+03	1.360441E-16	3.988805E-17
3.300000E+03	1.365097E-16	3.964232E-17
3.310000E+03	1.369823E-16	3.939947E-17
3.320000E+03	1.374619E-16	3.915951E-17
3.330000E+03	1.379368E-16	3.891917E-17
3.340000E+03	1.384301E-16	3.868508E-17
3.350000E+03	1.389187E-16	3.845077E-17
3.360000E+03	1.394143E-16	3.821951E-17
3.370000E+03	1.399280E-16	3.799442E-17
3.380000E+03	1.404372E-16	3.776932E-17
3.390000E+03	1.409533E-16	3.754736E-17
3.400000E+03	1.414764E-16	3.732857E-17
3.410000E+03	1.420065E-16	3.711298E-17
3.420000E+03	1.425437E-16	3.690060E-17
3.430000E+03	1.430881E-16	3.669147E-17
3.440000E+03	1.436399E-16	3.648561E-17
3.450000E+03	1.442099E-16	3.628576E-17
3.460000E+03	1.447767E-16	3.608645E-17
3.470000E+03	1.453620E-16	3.589311E-17
3.480000E+03	1.459550E-16	3.570302E-17
3.490000E+03	1.465561E-16	3.551620E-17
3.500000E+03	1.471760E-16	3.533517E-17
3.510000E+03	1.478041E-16	3.515733E-17
3.520000E+03	1.484408E-16	3.498268E-17
3.530000E+03	1.490965E-16	3.481362E-17
3.540000E+03	1.497611E-16	3.464765E-17
3.550000E+03	1.504450E-16	3.448709E-17
3.560000E+03	1.511380E-16	3.432951E-17
3.570000E+03	1.518406E-16	3.417487E-17
3.580000E+03	1.525628E-16	3.402537E-17
3.590000E+03	1.533047E-16	3.388085E-17
3.600000E+03	1.540565E-16	3.373902E-17
3.610000E+03	1.548282E-16	3.360193E-17
3.620000E+03	1.556101E-16	3.346734E-17
3.630000E+03	1.564119E-16	3.333723E-17
3.640000E+03	1.572337E-16	3.321144E-17
3.650000E+03	1.580754E-16	3.308979E-17
3.660000E+03	1.589275E-16	3.297013E-17
3.670000E+03	1.597994E-16	3.285431E-17
3.680000E+03	1.606910E-16	3.274214E-17
3.690000E+03	1.615929E-16	3.263154E-17
3.700000E+03	1.625235E-16	3.252612E-17
3.710000E+03	1.634640E-16	3.242194E-17
3.720000E+03	1.644326E-16	3.232248E-17
3.730000E+03	1.654106E-16	3.222390E-17
3.740000E+03	1.664069E-16	3.212783E-17
3.750000E+03	1.674210E-16	3.203406E-17
3.760000E+03	1.684526E-16	3.194238E-17
3.770000E+03	1.695010E-16	3.185260E-17
3.780000E+03	1.705659E-16	3.176449E-17
3.790000E+03	1.716377E-16	3.167622E-17
3.800000E+03	1.727335E-16	3.159089E-17
3.810000E+03	1.738439E-16	3.150663E-17
3.820000E+03	1.749682E-16	3.142324E-17
3.830000E+03	1.761055E-16	3.134054E-17
3.840000E+03	1.772552E-16	3.125834E-17
3.850000E+03	1.784165E-16	3.117646E-17
3.860000E+03	1.795886E-16	3.109474E-17
3.870000E+03	1.807708E-16	3.101300E-17
3.880000E+03	1.819622E-16	3.093111E-17
3.890000E+03	1.831620E-16	3.084890E-17
3.900000E+03	1.843695E-16	3.076626E-17
3.910000E+03	1.855840E-16	3.068306E-17
3.920000E+03	1.868048E-16	3.059919E-17
3.930000E+03	1.880311E-16	3.051456E-17
3.940000E+03	1.892625E-16	3.042908E-17
3.950000E+03	1.904983E-16	3.034269E-17
3.960000E+03	1.917382E-16	3.025534E-17
3.970000E+03	1.929817E-16	3.016697E-17
3.980000E+03	1.942205E-16	3.007633E-17
3.990000E+03	1.954627E-16	2.998467E-17
4.000000E+03	1.967161E-16	2.989321E-17
4.010000E+03	1.979570E-16	2.979834E-17
4.020000E+03	1.992094E-16	2.970369E-17
4.030000E+03	2.004579E-16	2.960695E-17
4.040000E+03	2.017032E-16	2.950821E-17
4.050000E+03	2.029615E-16	2.940982E-17
4.060000E+03	2.042103E-16	2.930848E-17
4.070000E+03	2.054663E-16	2.920652E-17
4.080000E+03	2.067305E-16	2.910403E-17
4.090000E+03	2.079890E-16	2.899896E-17
4.100000E+03	2.092586E-16	2.889356E-17
4.110000E+03	2.105334E-16	2.878689E-17
4.120000E+03	2.118151E-16	2.867905E-17
4.130000E+03	2.131057E-16	2.857017E-17
4.140000E+03	2.144073E-16	2.846033E-17
4.150000E+03	2.157221E-16	2.834964E-17
4.160000E+03	2.170450E-16	2.823722E-17
