MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56458.14	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.240000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.29000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.34000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.390000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.44000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.49000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.54000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.590000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.64000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.69000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.740000000034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.79000000004	nan	nan	nan	nan	6.626287657777045e-17	7.727693440380766e-17	nan	nan	9.029676089743497e-17	8.882570649960606e-17	nan	nan	nan	nan	nan	nan	nan	nan
56458.84000000004	nan	nan	nan	nan	8.016348541709626e-17	7.641487638285165e-17	nan	nan	1.0891492457572734e-16	8.725731528329262e-17	-3.1455794408337573e-16	1.20542390649519e-16	nan	nan	nan	nan	nan	nan
56458.89000000004	8.290780996612942e-17	1.834012407247856e-16	nan	nan	9.40749417951099e-17	7.556346380727497e-17	-3.4541048036547725e-17	2.0328676708774263e-16	1.275591117549798e-16	8.571091274301762e-17	-2.9091538956122496e-16	1.1874339568757448e-16	nan	nan	nan	nan	nan	nan
56458.940000000046	1.0635575219940626e-16	1.7777518720320652e-16	nan	nan	1.079972520731217e-16	7.472279481591317e-17	-1.6679001747209435e-17	1.938950009927306e-16	1.4622934975333627e-16	8.41869706790026e-17	-2.672482475619049e-16	1.1695968235459754e-16	nan	nan	nan	nan	nan	nan
56458.99000000005	1.2999082429886754e-16	1.7224365196792202e-16	nan	nan	1.219304225779401e-16	7.389296668460525e-17	1.466450717823705e-18	1.849280250515212e-16	1.6492566589715158e-16	8.268597414275605e-17	-2.4355649898172256e-16	1.1519138328727803e-16	nan	nan	nan	nan	nan	nan
56459.04000000005	1.538141516525205e-16	1.6680989738368688e-16	nan	nan	1.3587445970173348e-16	7.307407563747751e-17	1.98986647828242e-17	1.7643012378288026e-16	1.8364808756141537e-16	8.120842131716495e-17	-2.1984012464830798e-16	1.134386311789145e-16	nan	nan	nan	nan	nan	nan
56459.090000000055	1.778268656715216e-16	1.6147723687705293e-16	nan	nan	1.4982936978668242e-16	7.226621663348949e-17	3.8621031140443884e-17	1.6844903096739623e-16	2.0239664212427525e-16	7.975482329127637e-17	-1.960991054121835e-16	1.1170155859503743e-16	nan	nan	nan	nan	nan	nan
56459.14000000006	2.0203010382047048e-16	1.5624901880771238e-16	nan	nan	1.6379515920639484e-16	7.146948315479552e-17	5.76369760991122e-17	1.6103530492054165e-16	2.2117135700240765e-16	7.83257037183555e-17	-1.723334221009791e-16	1.099802977652802e-16	nan	nan	nan	nan	nan	nan
56459.19000000006	2.264250096477538e-16	1.5112860575355256e-16	nan	nan	1.7777179242550703e-16	7.068393898103694e-17	7.694996193367649e-17	1.542412041677131e-16	2.3997225667356675e-16	7.69215968820748e-17	-1.4854305552515546e-16	1.0827498036771812e-16	nan	nan	nan	nan	nan	nan
56459.24000000006	2.5101273281619237e-16	1.461193483260911e-16	nan	nan	1.9175906624145487e-16	6.990953402089589e-17	9.656348723933075e-17	1.481189372559295e-16	2.587991362627269e-16	7.554293525467349e-17	-1.2472798648945017e-16	1.065857372792721e-16	nan	nan	1.7715383828509664e-16	9.655632724763528e-17	nan	nan
