#wls	flux	fluxerr	mangling_mask
4.172000E+03	9.763535E-16	7.297114E-17	5.191437E-16
4.176000E+03	9.804091E-16	7.297224E-17	5.189821E-16
4.180000E+03	9.803608E-16	7.285363E-17	5.188192E-16
4.184000E+03	9.836811E-16	7.283234E-17	5.186550E-16
4.188000E+03	9.923889E-16	7.296550E-17	5.184895E-16
4.192000E+03	9.991705E-16	7.304194E-17	5.183226E-16
4.196000E+03	1.004442E-15	7.307387E-17	5.181544E-16
4.200000E+03	1.014370E-15	7.347982E-17	5.179849E-16
4.204000E+03	1.019006E-15	7.489632E-17	5.178140E-16
4.208000E+03	1.027105E-15	7.129979E-17	5.176418E-16
4.212000E+03	1.032659E-15	6.656045E-17	5.174682E-16
4.216000E+03	1.038466E-15	7.033810E-17	5.172932E-16
4.220000E+03	1.045352E-15	7.155532E-17	5.171169E-16
4.224000E+03	1.051351E-15	7.130646E-17	5.169392E-16
4.228000E+03	1.055948E-15	7.277669E-17	5.167601E-16
4.232000E+03	1.059453E-15	7.632096E-17	5.165797E-16
4.236000E+03	1.059803E-15	7.611749E-17	5.163979E-16
4.240000E+03	1.056846E-15	7.538096E-17	5.162146E-16
4.244000E+03	1.053269E-15	7.028907E-17	5.160300E-16
4.248000E+03	1.051445E-15	6.768270E-17	5.158440E-16
4.252000E+03	1.050135E-15	6.856164E-17	5.156566E-16
4.256000E+03	1.045987E-15	6.789474E-17	5.154677E-16
4.260000E+03	1.040294E-15	7.834705E-17	5.152775E-16
4.264000E+03	1.036507E-15	7.933772E-17	5.150858E-16
4.268000E+03	1.032205E-15	7.621532E-17	5.148927E-16
4.272000E+03	1.024095E-15	7.549781E-17	5.146981E-16
4.276000E+03	1.014187E-15	7.383686E-17	5.145021E-16
4.280000E+03	1.007677E-15	6.979766E-17	5.143047E-16
4.284000E+03	9.951547E-16	7.044130E-17	5.141058E-16
4.288000E+03	9.810456E-16	7.109862E-17	5.139055E-16
4.292000E+03	9.725952E-16	7.078725E-17	5.137037E-16
4.296000E+03	9.616323E-16	6.999851E-17	5.135004E-16
4.300000E+03	9.480058E-16	7.124137E-17	5.132957E-16
4.304000E+03	9.353622E-16	7.197940E-17	5.130895E-16
4.308000E+03	9.217512E-16	6.599027E-17	5.128818E-16
4.312000E+03	9.089686E-16	6.171657E-17	5.126726E-16
4.316000E+03	8.993707E-16	6.122558E-17	5.124620E-16
4.320000E+03	8.894705E-16	6.318338E-17	5.122498E-16
4.324000E+03	8.798316E-16	6.445065E-17	5.120361E-16
4.328000E+03	8.700444E-16	6.252675E-17	5.118209E-16
4.332000E+03	8.625647E-16	5.885614E-17	5.116042E-16
4.336000E+03	8.549351E-16	5.963379E-17	5.113860E-16
4.340000E+03	8.452134E-16	6.271115E-17	5.111663E-16
4.344000E+03	8.362126E-16	6.227214E-17	5.109450E-16
4.348000E+03	8.309450E-16	6.244332E-17	5.107222E-16
4.352000E+03	8.247603E-16	6.034958E-17	5.104978E-16
4.356000E+03	8.142409E-16	5.749077E-17	5.102719E-16
4.360000E+03	8.069923E-16	5.120283E-17	5.100444E-16
4.364000E+03	8.032142E-16	4.846061E-17	5.098154E-16
4.368000E+03	7.985704E-16	4.881484E-17	5.095848E-16
4.372000E+03	7.934696E-16	5.038958E-17	5.093527E-16
4.376000E+03	7.916799E-16	4.949875E-17	5.091189E-16
4.380000E+03	7.867849E-16	5.419194E-17	5.088836E-16
4.384000E+03	7.888093E-16	5.329573E-17	5.086467E-16
4.388000E+03	7.931676E-16	5.042796E-17	5.084082E-16
